"train/epoch","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - _step","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - _step__MIN","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - _step__MAX","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - train/loss","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - train/loss__MIN","gpt2-config23-fien-interleaved-0-0407/checkpoint-11496 - train/loss__MAX","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - _step","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - _step__MIN","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - _step__MAX","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - train/loss","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - train/loss__MIN","gpt2-config22-fien-interleaved-0-0407/checkpoint-11496 - train/loss__MAX","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - _step","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - _step__MIN","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - _step__MAX","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - train/loss","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - train/loss__MIN","gpt2-config23-deen-interleaved-0-0407/checkpoint-11468 - train/loss__MAX","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - _step","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - _step__MIN","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - _step__MAX","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - train/loss","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - train/loss__MIN","gpt2-config22-deen-interleaved-0-0407/checkpoint-11468 - train/loss__MAX","gpt2-config21-fien-interleaved-0-0507 - _step","gpt2-config21-fien-interleaved-0-0507 - _step__MIN","gpt2-config21-fien-interleaved-0-0507 - _step__MAX","gpt2-config21-fien-interleaved-0-0507 - train/loss","gpt2-config21-fien-interleaved-0-0507 - train/loss__MIN","gpt2-config21-fien-interleaved-0-0507 - train/loss__MAX","gpt2-config21-deen-interleaved-0-0507 - _step","gpt2-config21-deen-interleaved-0-0507 - _step__MIN","gpt2-config21-deen-interleaved-0-0507 - _step__MAX","gpt2-config21-deen-interleaved-0-0507 - train/loss","gpt2-config21-deen-interleaved-0-0507 - train/loss__MIN","gpt2-config21-deen-interleaved-0-0507 - train/loss__MAX","gpt2-config22-fien-interleaved-0-0407 - _step","gpt2-config22-fien-interleaved-0-0407 - _step__MIN","gpt2-config22-fien-interleaved-0-0407 - _step__MAX","gpt2-config22-fien-interleaved-0-0407 - train/loss","gpt2-config22-fien-interleaved-0-0407 - train/loss__MIN","gpt2-config22-fien-interleaved-0-0407 - train/loss__MAX","gpt2-config22-deen-interleaved-0-0407 - _step","gpt2-config22-deen-interleaved-0-0407 - _step__MIN","gpt2-config22-deen-interleaved-0-0407 - _step__MAX","gpt2-config22-deen-interleaved-0-0407 - train/loss","gpt2-config22-deen-interleaved-0-0407 - train/loss__MIN","gpt2-config22-deen-interleaved-0-0407 - train/loss__MAX","gpt2-config23-fien-interleaved-0-0407 - _step","gpt2-config23-fien-interleaved-0-0407 - _step__MIN","gpt2-config23-fien-interleaved-0-0407 - _step__MAX","gpt2-config23-fien-interleaved-0-0407 - train/loss","gpt2-config23-fien-interleaved-0-0407 - train/loss__MIN","gpt2-config23-fien-interleaved-0-0407 - train/loss__MAX","gpt2-config23-deen-interleaved-0-0407 - _step","gpt2-config23-deen-interleaved-0-0407 - _step__MIN","gpt2-config23-deen-interleaved-0-0407 - _step__MAX","gpt2-config23-deen-interleaved-0-0407 - train/loss","gpt2-config23-deen-interleaved-0-0407 - train/loss__MIN","gpt2-config23-deen-interleaved-0-0407 - train/loss__MAX","gpt2-config21-deen-sequential-0-3006-2 - _step","gpt2-config21-deen-sequential-0-3006-2 - _step__MIN","gpt2-config21-deen-sequential-0-3006-2 - _step__MAX","gpt2-config21-deen-sequential-0-3006-2 - train/loss","gpt2-config21-deen-sequential-0-3006-2 - train/loss__MIN","gpt2-config21-deen-sequential-0-3006-2 - train/loss__MAX","gpt2-config21-fien-sequential-0-3006-2 - _step","gpt2-config21-fien-sequential-0-3006-2 - _step__MIN","gpt2-config21-fien-sequential-0-3006-2 - _step__MAX","gpt2-config21-fien-sequential-0-3006-2 - train/loss","gpt2-config21-fien-sequential-0-3006-2 - train/loss__MIN","gpt2-config21-fien-sequential-0-3006-2 - train/loss__MAX","gpt2-config23-deen-sequential-0-3006-2 - _step","gpt2-config23-deen-sequential-0-3006-2 - _step__MIN","gpt2-config23-deen-sequential-0-3006-2 - _step__MAX","gpt2-config23-deen-sequential-0-3006-2 - train/loss","gpt2-config23-deen-sequential-0-3006-2 - train/loss__MIN","gpt2-config23-deen-sequential-0-3006-2 - train/loss__MAX","gpt2-config23-fien-sequential-0-3006-2 - _step","gpt2-config23-fien-sequential-0-3006-2 - _step__MIN","gpt2-config23-fien-sequential-0-3006-2 - _step__MAX","gpt2-config23-fien-sequential-0-3006-2 - train/loss","gpt2-config23-fien-sequential-0-3006-2 - train/loss__MIN","gpt2-config23-fien-sequential-0-3006-2 - train/loss__MAX","gpt2-config22-deen-sequential-0-2806-2 - _step","gpt2-config22-deen-sequential-0-2806-2 - _step__MIN","gpt2-config22-deen-sequential-0-2806-2 - _step__MAX","gpt2-config22-deen-sequential-0-2806-2 - train/loss","gpt2-config22-deen-sequential-0-2806-2 - train/loss__MIN","gpt2-config22-deen-sequential-0-2806-2 - train/loss__MAX","gpt2-config22-fien-sequential-0-2806-2 - _step","gpt2-config22-fien-sequential-0-2806-2 - _step__MIN","gpt2-config22-fien-sequential-0-2806-2 - _step__MAX","gpt2-config22-fien-sequential-0-2806-2 - train/loss","gpt2-config22-fien-sequential-0-2806-2 - train/loss__MIN","gpt2-config22-fien-sequential-0-2806-2 - train/loss__MAX","gpt2-config11-de-sequential-0-2706-1 - _step","gpt2-config11-de-sequential-0-2706-1 - _step__MIN","gpt2-config11-de-sequential-0-2706-1 - _step__MAX","gpt2-config11-de-sequential-0-2706-1 - train/loss","gpt2-config11-de-sequential-0-2706-1 - train/loss__MIN","gpt2-config11-de-sequential-0-2706-1 - train/loss__MAX","gpt2-config13-fi-sequential-0-2706-1 - _step","gpt2-config13-fi-sequential-0-2706-1 - _step__MIN","gpt2-config13-fi-sequential-0-2706-1 - _step__MAX","gpt2-config13-fi-sequential-0-2706-1 - train/loss","gpt2-config13-fi-sequential-0-2706-1 - train/loss__MIN","gpt2-config13-fi-sequential-0-2706-1 - train/loss__MAX","gpt2-config11-fi-sequential-0-2706-1 - _step","gpt2-config11-fi-sequential-0-2706-1 - _step__MIN","gpt2-config11-fi-sequential-0-2706-1 - _step__MAX","gpt2-config11-fi-sequential-0-2706-1 - train/loss","gpt2-config11-fi-sequential-0-2706-1 - train/loss__MIN","gpt2-config11-fi-sequential-0-2706-1 - train/loss__MAX","gpt2-config13-de-sequential-0-2606-1 - _step","gpt2-config13-de-sequential-0-2606-1 - _step__MIN","gpt2-config13-de-sequential-0-2606-1 - _step__MAX","gpt2-config13-de-sequential-0-2606-1 - train/loss","gpt2-config13-de-sequential-0-2606-1 - train/loss__MIN","gpt2-config13-de-sequential-0-2606-1 - train/loss__MAX","gpt2-config12-fi-sequential-0-2606-1 - _step","gpt2-config12-fi-sequential-0-2606-1 - _step__MIN","gpt2-config12-fi-sequential-0-2606-1 - _step__MAX","gpt2-config12-fi-sequential-0-2606-1 - train/loss","gpt2-config12-fi-sequential-0-2606-1 - train/loss__MIN","gpt2-config12-fi-sequential-0-2606-1 - train/loss__MAX","gpt2-config12-de-sequential-0-2606-1 - _step","gpt2-config12-de-sequential-0-2606-1 - _step__MIN","gpt2-config12-de-sequential-0-2606-1 - _step__MAX","gpt2-config12-de-sequential-0-2606-1 - train/loss","gpt2-config12-de-sequential-0-2606-1 - train/loss__MIN","gpt2-config12-de-sequential-0-2606-1 - train/loss__MAX","gpt2-config11-en-sequential-0-2306-1 - _step","gpt2-config11-en-sequential-0-2306-1 - _step__MIN","gpt2-config11-en-sequential-0-2306-1 - _step__MAX","gpt2-config11-en-sequential-0-2306-1 - train/loss","gpt2-config11-en-sequential-0-2306-1 - train/loss__MIN","gpt2-config11-en-sequential-0-2306-1 - train/loss__MAX"
"0.01","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","9.5194","9.5194","9.5194","0","0","0","9.5825","9.5825","9.5825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.02","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","8.0483","8.0483","8.0483","1","1","1","8.0079","8.0079","8.0079","0","0","0","9.3651","9.3651","9.3651","0","0","0","9.4087","9.4087","9.4087","0","0","0","8.3928","8.3928","8.3928","0","0","0","8.3425","8.3425","8.3425","0","0","0","5.321","5.321","5.321","0","0","0","5.8721","5.8721","5.8721","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","9.5597","9.5597","9.5597","","","","","","","0","0","0","9.4811","9.4811","9.4811","","","","","","","","","","","","","","","","","","","0","0","0","9.3024","9.3024","9.3024"
"0.03","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","7.099","7.099","7.099","2","2","2","6.9331","6.9331","6.9331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.04","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","6.5971","6.5971","6.5971","3","3","3","6.4018","6.4018","6.4018","1","1","1","7.6814","7.6814","7.6814","1","1","1","7.5889","7.5889","7.5889","1","1","1","6.5316","6.5316","6.5316","1","1","1","6.3627","6.3627","6.3627","1","1","1","4.7998","4.7998","4.7998","1","1","1","5.1831","5.1831","5.1831","0","0","0","5.1763","5.1763","5.1763","0","0","0","5.646","5.646","5.646","0","0","0","5.1881","5.1881","5.1881","0","0","0","5.6566","5.6566","5.6566","1","1","1","7.993","7.993","7.993","0","0","0","8.4435","8.4435","8.4435","1","1","1","8.0874","8.0874","8.0874","0","0","0","8.3417","8.3417","8.3417","0","0","0","9.3186","9.3186","9.3186","0","0","0","9.3906","9.3906","9.3906","","","","","",""
"0.05","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","6.241","6.241","6.241","4","4","4","6.0275","6.0275","6.0275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","1","7.471","7.471","7.471"
"0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","4.7953","4.7953","4.7953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.07","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","6.0206","6.0206","6.0206","5","5","5","5.8197","5.8197","5.8197","2","2","2","6.7755","6.7755","6.7755","2","2","2","6.6096","6.6096","6.6096","2","2","2","5.9572","5.9572","5.9572","2","2","2","5.7957","5.7957","5.7957","2","2","2","4.5105","4.5105","4.5105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","6.9712","6.9712","6.9712","","","","","","","2","2","2","7.3088","7.3088","7.3088","","","","","","","","","","","","","","","","","","","2","2","2","6.2663","6.2663","6.2663"
"0.08","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5.8475","5.8475","5.8475","6","6","6","5.6436","5.6436","5.6436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.09","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","5.6988","5.6988","5.6988","7","7","7","5.5093","5.5093","5.5093","3","3","3","6.2707","6.2707","6.2707","3","3","3","6.0769","6.0769","6.0769","3","3","3","5.6348","5.6348","5.6348","3","3","3","5.5047","5.5047","5.5047","3","3","3","4.2907","4.2907","4.2907","3","3","3","4.5388","4.5388","4.5388","1","1","1","4.5291","4.5291","4.5291","1","1","1","4.8051","4.8051","4.8051","1","1","1","4.5728","4.5728","4.5728","1","1","1","4.8717","4.8717","4.8717","3","3","3","6.4445","6.4445","6.4445","1","1","1","6.8379","6.8379","6.8379","3","3","3","6.8473","6.8473","6.8473","1","1","1","6.4566","6.4566","6.4566","1","1","1","7.7674","7.7674","7.7674","1","1","1","7.5943","7.5943","7.5943","3","3","3","5.775","5.775","5.775"
"0.1","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","5.5421","5.5421","5.5421","8","8","8","5.3861","5.3861","5.3861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.11","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","5.4068","5.4068","5.4068","9","9","9","5.2374","5.2374","5.2374","4","4","4","5.9753","5.9753","5.9753","4","4","4","5.7739","5.7739","5.7739","4","4","4","5.6831","5.6831","5.6831","4","4","4","5.2766","5.2766","5.2766","4","4","4","4.1262","4.1262","4.1262","4","4","4","4.3516","4.3516","4.3516","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","6.1023","6.1023","6.1023","","","","","","","4","4","4","6.5213","6.5213","6.5213","","","","","","","","","","","","","","","","","","","4","4","4","5.5273","5.5273","5.5273"
"0.12","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","5.239","5.239","5.239","10","10","10","5.1071","5.1071","5.1071","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0.13","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","5.115","5.115","5.115","11","11","11","4.9605","4.9605","4.9605","5","5","5","5.7635","5.7635","5.7635","5","5","5","5.5721","5.5721","5.5721","5","5","5","5.462","5.462","5.462","5","5","5","5.3955","5.3955","5.3955","5","5","5","4.0011","4.0011","4.0011","5","5","5","4.2063","4.2063","4.2063","2","2","2","4.1607","4.1607","4.1607","2","2","2","4.3744","4.3744","4.3744","2","2","2","4.2253","4.2253","4.2253","2","2","2","4.4633","4.4633","4.4633","5","5","5","5.8713","5.8713","5.8713","2","2","2","6.2745","6.2745","6.2745","5","5","5","6.2634","6.2634","6.2634","2","2","2","5.8814","5.8814","5.8814","2","2","2","7.0268","7.0268","7.0268","2","2","2","6.6486","6.6486","6.6486","","","","","",""
"0.14","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","4.9882","4.9882","4.9882","12","12","12","4.8439","4.8439","4.8439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5.3614","5.3614","5.3614"
"0.15","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","4.8775","4.8775","4.8775","13","13","13","4.7444","4.7444","4.7444","6","6","6","5.5644","5.5644","5.5644","6","6","6","5.4175","5.4175","5.4175","6","6","6","5.1991","5.1991","5.1991","6","6","6","5.0511","5.0511","5.0511","6","6","6","3.9054","3.9054","3.9054","6","6","6","4.0896","4.0896","4.0896","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5.6839","5.6839","5.6839","","","","","","","6","6","6","6.0093","6.0093","6.0093","","","","","","","","","","","","","","","","","","","","","","","",""
"0.16","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","4.7744","4.7744","4.7744","14","14","14","4.6352","4.6352","4.6352","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","5.2453","5.2453","5.2453"
