task,c4-interleaved-1,c4-interleaved-2,c4-interleaved-3,c4-interleaved-4,c4-interleaved-5,c4-interleaved-6,c4-interleaved-7,c4-interleaved-8,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8,c4-sequential-ewc-1,c4-sequential-ewc-2,c4-sequential-ewc-3,c4-sequential-ewc-4,c4-sequential-ewc-5,c4-sequential-ewc-6,c4-sequential-ewc-7,c4-sequential-ewc-8
anaphor_agreement,98.16,98.01,98.11,98.67,98.77,98.67,98.77,98.62,99.18,98.62,99.08,99.13,99.23,99.49,99.34,99.34,96.42,96.88,96.57,96.63,96.88,96.52,96.63,96.83
argument_structure,79.47,79.79,80.69,78.87,79.33,79.8,79.84,79.55,80.43,80.82,80.13,81.17,79.6,79.89,80.06,80.08,68.28,67.75,68.77,68.85,68.34,68.51,68.82,68.6
binding,76.25,74.92,74.87,75.54,75.05,75.05,75.32,74.86,75.7,76.73,77.41,76.7,76.86,76.6,76.85,76.86,68.95,69.19,67.82,67.66,67.3,67.74,67.35,67.74
control_raising,74.17,74.79,76.54,75.41,76.2,76.14,76.2,76.25,76.12,76.12,76.23,75.96,76.49,76.25,76.29,76.45,65.8,66.04,65.67,65.86,65.91,65.69,65.47,65.8
determiner_noun_agreement,94.15,94.96,95.35,95.36,95.92,95.44,95.78,95.61,96.45,96.41,96.63,96.43,96.63,96.57,96.26,96.49,82.02,82.62,83.77,82.43,82.8,82.26,82.17,83.05
ellipsis,84.87,84.24,86.2,86.49,86.84,86.32,84.76,85.05,84.47,84.06,83.83,83.66,84.24,83.2,83.03,83.03,73.09,70.61,73.04,70.96,71.36,70.9,70.09,71.02
filler_gap,76.22,75.91,74.32,75.07,75.19,75.19,75.49,75.58,74.91,75.29,76.13,75.37,75.13,75.29,75.65,75.51,67.24,66.48,66.96,66.51,66.57,66.04,66.71,66.43
irregular_forms,92.57,94.05,93.33,93.18,91.76,93.03,92.37,92.52,94.05,93.69,90.74,94.1,93.33,92.16,93.59,92.98,90.38,91.09,89.36,90.08,89.41,90.13,90.08,89.92
island_effects,59.16,62.29,62.56,66.14,64.72,65.73,64.95,65.36,63.38,62.37,63.75,62.56,64.91,65.36,64.72,64.99,54.78,56.43,54.37,55.16,53.62,55.75,54.75,54.75
npi_licensing,58.65,58.79,59.37,56.86,58.11,55.47,57.76,57.94,57.71,59.93,62.63,60.99,61.3,61.52,60.02,60.63,51.55,47.98,50.06,50.84,52.6,53.02,51.7,51.99
quantifiers,64.4,72.31,68.88,69.24,70.27,67.36,63.78,63.55,71.79,71.1,75.01,74.78,74.88,73.75,75.55,75.19,68.55,68.93,68.26,65.38,70.22,66.77,68.65,68.99
subject_verb_agreement,80.05,77.85,77.02,78.45,76.46,80.23,77.11,77.06,86.78,87.59,86.23,87.17,86.92,86.49,86.81,86.83,66.47,67.53,68.09,67.53,67.7,65.87,67.21,67.37
hypernym,49.3,49.77,50.23,49.88,49.88,49.42,49.42,49.77,49.07,47.09,47.33,47.79,46.86,45.7,46.05,47.33,49.42,49.42,49.3,49.3,49.07,48.72,48.6,48.84
qa_congruence_easy,75.0,76.56,71.88,75.0,75.0,75.0,75.0,75.0,73.44,70.31,75.0,73.44,71.88,68.75,68.75,71.88,54.69,51.56,56.25,51.56,53.12,53.12,53.12,53.12
qa_congruence_tricky,48.48,50.91,53.94,54.55,55.76,55.76,55.76,55.15,45.45,49.09,46.06,50.3,47.27,50.3,50.91,51.52,39.39,38.18,36.97,35.76,37.58,38.18,37.58,37.58
subject_aux_inversion,84.34,83.85,83.29,86.12,83.22,83.83,85.26,84.31,93.02,90.29,89.61,86.56,88.73,85.61,84.7,84.61,78.24,78.68,80.12,79.04,77.78,77.19,77.38,77.48
turn_taking,70.71,77.14,77.5,75.71,75.36,75.36,76.43,76.79,78.21,71.79,71.79,71.43,72.5,71.43,71.79,70.71,60.36,59.64,60.36,59.64,59.29,58.57,58.57,58.93
