task,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8
anaphor_agreement,97.6,98.11,97.8,97.8,98.01,98.06,98.06,98.31
argument_structure,81.32,80.35,80.76,80.61,80.99,80.42,80.78,80.61
binding,77.81,77.1,77.74,76.98,76.48,76.17,77.28,76.82
control_raising,76.4,77.0,76.29,75.89,76.4,75.43,75.65,75.81
determiner_noun_agreement,96.18,95.57,95.45,95.45,95.64,95.56,95.4,95.32
ellipsis,84.24,82.27,82.56,81.81,81.47,81.76,80.6,80.2
filler_gap,78.17,76.98,75.79,76.5,75.04,75.29,75.55,75.38
irregular_forms,91.86,88.4,87.58,86.21,84.68,84.07,84.22,81.58
island_effects,63.98,66.93,65.55,64.01,62.71,62.56,62.63,62.56
npi_licensing,53.48,54.68,57.82,55.66,56.71,57.01,57.42,57.09
quantifiers,76.15,77.77,80.68,75.66,78.85,78.44,77.02,76.92
subject_verb_agreement,83.02,82.94,83.16,82.76,82.58,82.84,83.16,83.2
hypernym,48.84,47.79,47.21,47.09,46.28,46.63,46.74,47.21
qa_congruence_easy,79.69,78.12,84.38,81.25,81.25,85.94,81.25,81.25
qa_congruence_tricky,52.73,56.97,56.97,55.15,54.55,55.76,56.97,56.97
subject_aux_inversion,84.87,85.66,83.97,84.41,84.48,83.97,85.75,85.0
turn_taking,80.36,75.0,77.14,75.0,77.5,76.79,75.0,76.79
