task,c4-interleaved-1,c4-interleaved-2,c4-interleaved-3,c4-interleaved-4,c4-interleaved-5,c4-interleaved-6,c4-interleaved-7,c4-interleaved-8,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8,c4-sequential-ewc-1,c4-sequential-ewc-2,c4-sequential-ewc-3,c4-sequential-ewc-4,c4-sequential-ewc-5,c4-sequential-ewc-6,c4-sequential-ewc-7,c4-sequential-ewc-8
anaphor_agreement,95.81,97.49,97.44,98.47,97.8,98.16,97.96,97.96,98.01,97.75,97.96,97.19,98.16,97.65,98.36,98.36,95.55,95.76,95.19,93.87,95.55,95.76,95.91,95.65
argument_structure,80.71,78.76,79.19,79.11,79.1,79.35,79.27,79.38,80.93,80.07,80.82,80.21,80.56,80.89,81.11,81.0,68.89,68.49,68.37,68.3,68.53,68.23,68.9,68.84
binding,72.72,72.75,73.26,74.07,73.45,73.15,73.46,73.39,76.36,77.92,76.58,77.32,77.03,76.73,76.86,76.73,66.43,68.37,66.15,67.66,65.78,66.09,65.67,65.81
control_raising,74.68,74.04,75.78,74.48,74.72,75.23,75.19,75.03,77.46,76.18,75.65,76.29,75.52,76.56,76.29,76.34,65.47,65.53,65.6,65.53,65.51,65.22,65.36,65.6
determiner_noun_agreement,94.39,94.44,94.67,94.56,94.46,94.25,94.56,94.39,95.93,96.25,96.19,96.26,96.46,96.58,96.33,96.47,80.84,81.3,81.64,81.3,81.62,81.74,81.34,81.54
ellipsis,84.7,87.07,85.62,84.53,85.45,84.53,84.3,84.24,83.55,84.64,81.99,81.0,81.41,81.41,81.81,81.52,74.54,73.79,73.27,75.12,74.08,74.25,74.31,74.6
filler_gap,73.23,74.03,74.6,74.87,74.46,74.67,74.81,74.32,77.37,77.2,75.43,75.82,75.86,75.58,76.03,75.93,66.42,66.29,66.42,66.12,65.47,66.45,66.2,66.2
irregular_forms,94.55,94.05,95.93,96.13,95.37,95.83,95.62,95.78,93.59,90.28,91.55,94.81,93.69,90.99,93.18,92.32,84.68,84.58,86.87,86.77,85.85,85.34,85.55,86.01
island_effects,58.74,55.46,59.04,59.6,60.28,59.75,60.2,59.68,63.3,63.83,61.81,61.55,59.42,61.85,61.43,61.55,53.48,54.56,54.04,53.85,53.1,55.53,54.97,54.6
npi_licensing,47.95,54.1,54.19,54.22,54.21,54.72,55.1,55.78,54.05,56.89,57.2,52.31,55.62,59.81,57.62,60.95,60.14,61.27,61.42,59.75,63.19,62.82,62.45,63.01
quantifiers,75.17,66.85,63.96,70.07,64.53,65.07,61.62,63.68,72.9,69.47,61.36,65.77,65.66,65.74,67.13,67.95,68.08,65.1,64.97,63.34,61.67,63.68,64.68,63.37
subject_verb_agreement,78.18,76.87,77.43,80.98,81.25,81.03,79.98,80.96,83.27,82.71,81.01,84.84,84.41,84.95,85.19,85.51,59.35,59.6,58.19,59.46,59.24,58.55,58.61,59.24
hypernym,48.14,47.79,47.56,47.33,47.21,46.86,45.47,46.4,46.16,45.47,46.05,46.16,45.47,46.63,47.44,47.21,50.35,50.47,50.0,50.58,50.0,50.58,50.35,50.23
qa_congruence_easy,65.62,75.0,73.44,79.69,75.0,79.69,79.69,78.12,75.0,73.44,75.0,76.56,76.56,79.69,76.56,78.12,54.69,53.12,54.69,56.25,51.56,51.56,54.69,53.12
qa_congruence_tricky,55.15,50.91,52.73,52.73,54.55,55.15,55.76,54.55,46.06,46.67,45.45,44.85,43.64,45.45,45.45,44.24,41.82,43.03,44.24,43.03,42.42,40.0,41.82,42.42
subject_aux_inversion,84.97,85.83,87.0,86.07,85.12,86.12,84.83,84.78,85.05,83.56,81.41,80.46,79.34,81.14,82.17,82.17,73.12,74.14,74.12,73.94,72.94,73.33,73.7,74.07
turn_taking,71.43,72.5,70.36,71.43,71.43,70.36,71.43,71.79,72.14,76.79,75.71,77.86,76.43,76.07,78.21,77.14,56.79,56.79,60.0,59.64,57.5,59.64,58.93,58.93
