task,c4-interleaved-1,c4-interleaved-2,c4-interleaved-3,c4-interleaved-4,c4-interleaved-5,c4-interleaved-6,c4-interleaved-7,c4-interleaved-8,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8,c4-sequential-ewc-1,c4-sequential-ewc-2,c4-sequential-ewc-3,c4-sequential-ewc-4,c4-sequential-ewc-5,c4-sequential-ewc-6,c4-sequential-ewc-7,c4-sequential-ewc-8
anaphor_agreement,74.28,88.65,91.97,91.87,91.77,93.25,93.15,93.35,88.19,93.15,92.28,91.67,93.3,91.77,92.64,93.2,75.0,81.54,80.06,78.83,80.78,78.37,79.96,80.67
argument_structure,64.12,66.68,67.74,66.29,66.56,66.37,66.39,66.0,72.44,73.65,73.73,74.35,72.93,73.75,73.04,73.28,69.41,70.24,70.21,70.47,70.24,69.31,69.54,69.45
binding,70.93,67.97,66.8,65.23,66.82,66.87,66.13,66.22,70.79,69.2,69.52,68.24,69.28,69.35,69.53,69.07,65.73,64.95,65.24,64.6,64.69,63.91,64.69,64.1
control_raising,64.91,63.81,65.36,66.99,68.14,68.58,68.05,68.21,67.63,71.17,70.42,71.96,72.49,72.76,72.34,72.98,65.07,64.89,65.42,64.58,64.03,63.19,64.52,63.72
determiner_noun_agreement,85.89,89.23,91.5,91.82,92.5,93.16,92.22,92.39,95.32,95.64,96.05,96.39,96.34,95.88,95.94,95.89,89.37,90.84,90.75,89.29,89.67,90.56,90.21,90.43
ellipsis,74.6,74.94,78.23,76.1,76.39,75.64,76.73,76.1,83.55,89.38,86.78,84.47,84.82,85.97,85.74,85.57,72.11,71.07,70.5,68.82,69.23,70.03,70.03,69.86
filler_gap,63.93,64.35,66.32,64.43,62.84,64.13,63.49,63.34,68.95,67.1,67.23,66.01,66.37,67.34,67.12,67.07,61.03,60.38,59.9,60.12,60.36,60.04,60.64,60.35
irregular_forms,84.48,82.7,84.27,84.83,84.17,90.18,90.03,89.52,87.48,87.43,84.22,87.74,88.35,87.38,86.62,88.3,89.36,88.3,85.55,85.39,85.95,86.06,87.48,87.33
island_effects,48.62,51.42,54.6,52.99,54.33,50.64,49.74,49.66,43.27,42.75,44.13,45.03,42.64,45.18,44.69,42.53,44.06,41.26,43.46,43.95,43.57,42.38,43.87,43.39
npi_licensing,55.83,60.37,64.01,62.59,65.91,67.25,63.45,63.41,67.45,66.61,72.47,67.46,69.59,67.11,67.07,67.11,53.25,48.48,53.92,51.52,52.58,49.45,48.5,49.86
quantifiers,56.9,69.71,70.38,73.21,67.54,71.33,72.51,70.22,65.12,67.65,72.36,69.91,73.13,69.29,69.53,71.43,69.42,69.53,69.24,66.15,69.47,68.73,68.7,69.06
subject_verb_agreement,64.7,63.07,64.16,68.31,70.1,70.8,71.15,71.47,74.11,72.56,73.59,73.19,73.26,73.21,73.77,73.82,63.76,62.49,63.81,62.58,62.78,62.94,62.91,62.78
hypernym,50.12,47.67,51.51,49.19,49.53,50.0,49.3,49.88,49.65,50.47,51.28,50.58,49.42,50.58,49.88,50.58,47.44,51.16,51.05,49.65,49.3,49.88,49.53,50.0
qa_congruence_easy,57.81,64.06,60.94,59.38,57.81,64.06,62.5,68.75,67.19,64.06,64.06,71.88,70.31,70.31,73.44,71.88,60.94,60.94,57.81,62.5,60.94,60.94,62.5,60.94
qa_congruence_tricky,41.21,42.42,35.15,38.79,39.39,36.97,41.21,35.15,40.61,47.27,47.88,40.0,41.82,49.09,45.45,46.06,34.55,36.97,35.76,35.15,34.55,36.97,34.55,34.55
subject_aux_inversion,85.7,81.43,83.95,77.63,76.34,75.29,76.29,75.07,79.8,81.65,84.36,81.58,82.39,80.17,77.46,78.7,77.17,76.6,77.21,76.75,77.26,77.92,77.43,77.14
turn_taking,63.93,65.0,63.93,67.14,63.57,66.43,66.07,66.07,69.64,72.14,70.36,69.64,70.71,67.86,68.21,68.57,67.86,68.21,67.5,67.5,69.64,70.0,68.21,68.57
