task,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8
anaphor_agreement,83.38,76.28,85.58,84.2,81.29,81.9,77.66,76.33
argument_structure,73.25,74.72,73.92,74.16,75.29,75.04,74.64,74.03
binding,66.12,66.73,66.65,68.03,66.71,67.69,66.89,67.47
control_raising,69.13,71.37,69.38,71.21,71.14,71.37,71.34,71.76
determiner_noun_agreement,93.95,94.02,95.61,95.53,96.06,96.1,95.51,95.85
ellipsis,81.87,87.99,85.16,87.76,86.78,89.2,87.36,87.12
filler_gap,66.09,66.92,64.21,68.71,70.53,70.37,68.72,68.16
irregular_forms,85.7,91.86,87.28,88.55,91.35,91.15,90.99,90.64
island_effects,46.0,48.47,46.79,56.61,51.35,56.69,53.21,53.89
npi_licensing,61.72,69.77,66.16,70.21,68.28,65.73,68.65,68.21
quantifiers,71.23,64.89,66.23,70.38,65.82,71.02,69.78,69.47
subject_verb_agreement,68.89,73.86,71.69,74.42,75.09,74.16,74.78,74.92
hypernym,48.02,50.12,48.95,46.98,48.84,48.26,49.65,49.19
qa_congruence_easy,75.0,81.25,78.12,78.12,81.25,82.81,75.0,76.56
qa_congruence_tricky,60.61,58.79,51.52,60.0,56.97,59.39,57.58,57.58
subject_aux_inversion,71.41,75.73,72.6,76.53,76.51,76.77,74.95,76.6
turn_taking,70.0,72.86,67.5,72.86,72.5,72.14,70.71,71.07
