task,c4-interleaved-1,c4-interleaved-2,c4-interleaved-3,c4-interleaved-4,c4-interleaved-5,c4-interleaved-6,c4-interleaved-7,c4-interleaved-8,c4-sequential-1,c4-sequential-2,c4-sequential-3,c4-sequential-4,c4-sequential-5,c4-sequential-6,c4-sequential-7,c4-sequential-8,c4-sequential-ewc-1,c4-sequential-ewc-2,c4-sequential-ewc-3,c4-sequential-ewc-4,c4-sequential-ewc-5,c4-sequential-ewc-6,c4-sequential-ewc-7,c4-sequential-ewc-8
anaphor_agreement,84.2,90.34,88.7,90.54,86.35,87.73,85.94,84.56,91.05,91.0,89.98,89.98,90.34,87.73,85.63,86.3,84.87,84.76,86.76,85.28,85.48,85.63,85.74,85.22
argument_structure,61.68,70.73,70.99,71.4,69.65,69.98,69.9,69.67,71.97,73.47,73.52,73.23,72.36,72.32,71.8,71.79,66.72,67.9,66.62,66.34,66.53,66.65,66.16,66.15
binding,61.68,69.4,69.53,69.86,69.31,68.85,69.1,68.31,65.84,68.6,68.2,68.09,67.97,67.78,68.4,67.84,55.98,57.3,57.61,57.73,56.95,58.04,57.67,57.38
control_raising,62.53,64.21,64.56,65.78,65.93,68.03,68.18,68.29,70.28,72.12,72.07,71.87,72.51,71.87,72.47,71.94,64.71,65.11,65.11,64.67,65.51,66.64,65.33,65.55
determiner_noun_agreement,81.4,93.13,92.99,93.48,92.83,93.7,92.65,92.31,93.87,95.57,95.45,94.63,94.14,93.83,93.97,93.81,85.81,85.04,85.23,85.55,84.61,85.2,84.77,85.2
ellipsis,73.61,88.57,91.45,90.3,91.34,91.8,90.94,90.53,88.16,90.53,85.22,85.85,85.57,84.7,86.37,85.62,80.66,82.39,78.41,80.37,79.16,80.43,79.85,79.5
filler_gap,58.98,66.48,68.22,67.54,66.45,67.44,67.52,66.96,64.66,67.58,66.45,66.53,67.62,66.81,67.91,66.4,60.32,60.5,60.15,61.1,61.14,61.22,60.96,61.0
irregular_forms,86.51,88.65,91.2,90.48,90.74,89.52,90.13,90.53,92.06,89.52,90.69,90.08,89.57,89.62,89.77,89.41,84.68,81.37,82.95,83.66,83.61,80.61,81.68,82.65
island_effects,41.44,45.48,45.96,49.48,41.18,43.68,43.5,45.74,41.63,47.68,52.24,50.15,47.16,54.67,54.22,52.39,42.41,41.33,40.51,42.19,40.92,40.99,41.78,41.93
npi_licensing,65.09,72.06,66.35,60.2,62.13,58.21,62.18,61.33,72.7,69.78,64.71,64.5,66.82,68.65,67.98,65.56,61.81,63.1,59.16,60.75,62.59,64.49,64.7,63.89
quantifiers,53.89,58.66,60.64,67.05,59.51,67.44,61.93,61.08,67.95,67.47,73.75,74.76,74.37,77.49,77.13,75.58,78.46,75.24,77.0,75.79,74.11,75.37,74.34,74.16
subject_verb_agreement,56.73,66.38,68.6,69.92,71.07,71.91,71.29,71.54,74.18,77.42,74.11,74.07,73.53,72.68,72.77,72.5,58.93,60.05,58.88,60.43,59.51,60.31,59.84,59.96
hypernym,49.3,50.7,48.37,49.53,49.53,48.14,47.56,49.3,48.49,47.91,46.86,48.37,47.44,47.56,48.14,48.72,49.88,49.65,51.28,50.7,50.0,50.35,49.88,50.12
qa_congruence_easy,67.19,67.19,64.06,64.06,64.06,65.62,65.62,62.5,68.75,70.31,65.62,76.56,71.88,71.88,70.31,75.0,67.19,62.5,67.19,64.06,62.5,64.06,62.5,60.94
qa_congruence_tricky,38.79,40.0,46.67,46.06,48.48,46.06,46.67,47.88,43.03,43.03,38.79,38.18,41.21,40.0,41.21,41.21,46.06,47.27,46.67,47.88,49.09,46.06,44.85,45.45
subject_aux_inversion,84.09,80.24,77.51,77.29,78.63,77.26,75.58,76.85,85.92,82.34,81.9,75.82,75.65,77.17,76.77,75.46,78.78,78.43,79.58,79.46,80.09,80.58,79.6,79.43
turn_taking,62.5,65.0,65.36,66.43,67.14,66.79,65.36,67.5,66.79,66.07,68.21,68.93,66.79,68.93,67.14,67.86,57.14,57.86,57.86,57.14,56.79,55.36,54.29,54.64
