task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,88.5,91.31,88.85,90.24,89.98,89.06,87.83,88.91,92.64,94.84,93.66,94.33,89.47,92.79,88.91,92.08,91.16,89.62,82.92,90.49,85.02,90.75,90.59,90.49
argument_structure,71.39,73.71,75.74,76.16,76.66,75.86,72.32,73.36,76.08,76.64,76.66,76.65,74.61,75.7,76.92,76.87,77.82,77.61,70.22,72.05,71.73,74.18,73.61,74.5
binding,71.0,69.78,70.54,71.49,71.43,71.62,70.15,71.45,71.61,72.32,72.74,72.31,69.78,71.12,72.35,72.99,73.51,74.03,67.28,68.09,69.53,69.53,68.77,69.44
control_raising,65.58,66.99,67.3,69.16,69.86,70.26,66.75,67.48,69.55,69.31,70.24,70.68,69.64,69.8,67.94,69.02,69.13,68.91,65.6,63.83,65.6,64.32,65.55,65.69
determiner_noun_agreement,86.38,88.41,88.57,89.43,89.74,89.39,85.64,88.08,86.87,88.73,88.39,88.5,86.87,88.35,88.0,88.31,88.88,89.33,80.62,81.72,80.54,82.92,82.14,83.03
ellipsis,72.34,79.39,81.24,78.98,78.7,79.5,73.61,72.23,73.44,74.88,73.56,73.21,71.48,72.46,75.29,74.94,74.42,74.65,65.7,66.45,73.21,73.21,71.3,71.02
filler_gap,63.93,67.94,70.25,70.73,71.58,71.29,68.04,68.19,71.34,71.18,70.82,70.21,69.69,70.17,70.96,70.39,71.04,70.99,66.4,65.0,66.34,64.97,66.7,66.01
irregular_forms,80.46,87.43,81.12,83.92,82.6,84.07,72.21,80.25,84.38,87.79,84.38,86.16,86.31,80.2,75.52,84.68,81.83,81.83,73.33,79.49,75.73,82.85,83.66,81.63
island_effects,43.83,49.18,47.38,47.65,48.77,49.29,47.53,50.86,50.86,49.07,48.39,48.88,51.46,50.97,56.54,50.9,53.4,52.95,42.6,41.97,47.42,41.22,43.27,42.45
npi_licensing,48.8,30.32,31.73,31.64,35.61,35.1,50.55,37.14,46.49,50.79,53.63,50.29,45.19,52.28,42.64,44.67,51.97,51.14,37.78,48.3,42.85,44.72,41.51,42.64
quantifiers,75.17,72.85,58.35,66.25,67.05,62.21,74.52,66.62,64.17,70.32,69.4,67.31,63.63,68.24,70.99,71.35,69.71,71.3,62.03,56.03,64.09,66.2,60.2,60.84
subject_verb_agreement,63.97,67.91,67.14,67.93,68.69,68.55,61.86,66.88,68.2,71.06,70.68,70.57,68.47,74.35,70.79,73.51,72.86,74.85,60.51,60.67,59.66,61.21,61.46,62.13
hypernym,52.56,51.28,48.6,48.84,49.65,48.72,49.19,48.84,49.88,48.6,49.53,49.42,50.47,49.77,47.33,48.14,47.33,45.93,48.37,48.72,48.02,47.56,49.77,48.6
qa_congruence_easy,50.0,53.12,50.0,53.12,53.12,57.81,54.69,59.38,57.81,59.38,59.38,64.06,60.94,57.81,64.06,64.06,57.81,64.06,57.81,56.25,53.12,57.81,57.81,59.38
qa_congruence_tricky,40.61,43.03,40.61,43.64,43.03,44.24,31.52,36.97,42.42,36.97,42.42,41.82,35.76,38.18,40.0,38.79,39.39,41.82,33.94,41.21,37.58,37.58,41.82,42.42
subject_aux_inversion,77.38,81.26,80.31,80.9,80.09,79.9,69.68,66.63,74.43,76.51,74.9,76.53,74.85,76.31,76.9,72.16,67.16,68.48,75.95,66.7,75.77,72.94,64.55,68.21
turn_taking,58.93,57.5,59.64,62.14,57.5,57.86,57.14,51.79,52.86,57.5,52.14,55.0,56.43,60.0,56.43,59.64,60.71,61.79,56.43,57.5,56.43,54.64,54.29,55.71
