task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,90.9,93.92,94.48,95.55,94.68,94.53,91.72,96.11,95.5,96.78,97.03,96.57,95.5,95.19,92.84,95.91,95.76,95.45,95.04,93.46,91.31,95.45,95.4,95.19
argument_structure,72.7,76.01,76.2,75.93,76.69,76.82,72.81,75.42,75.51,74.56,76.12,76.56,73.21,73.28,76.1,74.88,76.44,76.22,71.5,69.71,71.84,71.61,73.02,73.38
binding,70.76,72.5,73.46,73.18,73.85,74.1,72.78,74.28,76.98,74.13,74.89,75.99,68.2,70.94,72.32,72.25,71.94,71.48,65.12,65.52,70.79,68.79,67.84,69.28
control_raising,65.71,69.29,69.35,69.66,69.27,69.11,66.0,68.14,69.11,69.44,67.92,69.11,67.76,68.43,69.02,69.29,70.46,70.64,65.6,65.49,65.38,67.61,67.98,67.41
determiner_noun_agreement,89.91,87.44,91.79,90.68,90.53,89.84,88.64,90.4,90.6,91.71,90.84,91.0,90.71,92.68,92.44,92.47,91.26,91.45,85.48,86.95,87.3,88.7,89.31,88.78
ellipsis,71.82,72.52,76.39,79.04,78.0,78.23,75.12,76.67,76.1,78.58,76.96,76.27,73.09,77.42,77.37,79.39,75.81,75.64,60.68,69.8,68.71,66.8,68.53,69.17
filler_gap,67.13,67.12,70.29,70.43,71.26,70.9,68.71,70.12,70.42,69.73,70.93,70.77,69.11,71.24,71.58,71.68,70.46,70.95,67.77,69.11,66.81,67.38,68.33,69.03
irregular_forms,74.61,86.92,82.19,82.19,84.73,85.95,82.09,88.09,85.5,85.65,87.23,86.41,88.5,82.6,89.06,83.0,81.17,83.61,79.54,79.69,84.58,85.39,85.5,85.34
island_effects,47.31,49.55,51.68,51.83,54.48,54.67,55.53,49.4,54.37,53.48,54.82,53.14,54.67,52.84,50.52,56.2,54.04,54.97,50.82,51.38,50.26,48.65,48.21,50.19
npi_licensing,45.19,56.68,55.19,50.68,42.12,49.95,44.61,48.36,52.11,41.04,47.02,42.79,51.5,41.0,35.26,46.86,47.24,43.55,51.96,46.46,45.61,50.93,53.7,51.34
quantifiers,64.91,72.72,68.83,70.17,72.51,69.68,68.52,67.03,63.24,70.45,69.06,67.41,66.51,68.83,59.97,68.24,64.81,69.29,65.79,64.79,67.23,68.91,64.35,68.96
subject_verb_agreement,60.96,64.1,71.45,69.23,68.51,68.6,62.64,69.02,68.93,71.31,71.42,71.65,68.13,73.19,68.53,74.27,73.95,74.44,63.04,66.36,65.65,69.36,70.05,71.33
hypernym,46.98,50.12,48.49,47.56,47.33,47.33,48.26,50.35,49.3,49.88,49.3,49.3,50.81,49.88,50.47,50.58,51.16,51.63,51.4,51.98,50.0,49.42,49.88,49.77
qa_congruence_easy,50.0,56.25,60.94,59.38,64.06,65.62,54.69,65.62,67.19,64.06,71.88,70.31,60.94,64.06,67.19,67.19,65.62,65.62,45.31,46.88,54.69,56.25,62.5,60.94
qa_congruence_tricky,33.94,34.55,40.0,40.61,41.82,37.58,30.91,33.94,42.42,41.82,39.39,37.58,34.55,38.79,40.0,45.45,44.24,43.64,34.55,34.55,37.58,36.36,36.97,37.58
subject_aux_inversion,71.43,77.63,73.75,76.73,77.87,77.36,79.19,69.26,73.65,70.7,74.02,70.77,71.04,81.07,78.34,80.82,84.31,82.92,65.24,63.45,69.48,62.87,58.82,61.53
turn_taking,55.71,56.79,57.86,54.64,56.07,55.71,52.5,52.5,53.93,57.86,55.0,57.5,49.29,62.14,61.07,57.86,57.5,58.93,54.64,50.36,53.93,51.79,51.43,52.86
