task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,85.02,85.89,87.12,88.29,90.03,89.31,88.85,93.1,86.3,88.14,89.31,88.91,85.84,93.66,92.02,91.97,95.19,95.19,86.71,81.85,80.16,85.79,82.92,86.91
argument_structure,72.83,74.37,74.94,75.59,75.51,75.69,74.05,76.01,75.4,76.37,77.09,77.69,74.33,76.6,76.49,77.58,77.73,78.95,69.9,71.7,72.08,72.25,72.76,73.47
binding,66.0,72.99,73.72,73.61,73.37,72.94,68.05,70.97,73.15,72.44,72.77,72.62,69.09,72.78,70.53,72.69,73.67,73.61,67.32,71.58,68.52,69.31,71.67,72.19
control_raising,65.44,67.23,66.81,67.76,67.85,67.59,68.29,70.0,71.12,72.12,71.48,71.23,69.35,69.73,68.98,68.96,69.82,70.33,65.38,66.37,63.59,66.55,66.79,66.92
determiner_noun_agreement,88.99,90.14,90.45,89.7,90.67,90.43,88.35,90.11,90.45,91.62,91.69,91.79,90.11,90.68,92.19,91.59,92.04,92.35,86.22,85.4,86.75,87.34,86.63,88.35
ellipsis,72.0,72.29,78.06,76.1,78.81,77.77,75.87,72.98,76.67,78.35,75.64,76.39,73.09,77.71,77.37,76.85,75.98,76.79,66.8,69.05,69.8,68.82,70.79,71.65
filler_gap,65.22,69.64,69.73,69.69,71.04,70.73,65.98,70.62,69.95,70.37,70.43,70.6,69.65,70.0,70.87,70.63,70.98,70.77,66.06,67.46,66.43,65.92,66.4,66.7
irregular_forms,80.71,85.34,91.45,89.11,86.21,85.95,91.2,91.86,90.43,90.94,85.29,87.23,86.87,92.72,89.62,93.18,89.97,90.38,82.75,86.21,85.85,87.02,87.48,86.01
island_effects,45.44,50.78,51.49,49.7,54.75,52.95,44.13,45.18,50.34,49.25,51.27,51.27,48.21,46.86,50.04,51.53,52.5,52.24,43.2,40.02,45.25,42.41,45.37,45.03
npi_licensing,48.15,46.89,46.11,39.77,40.63,40.69,46.87,47.42,47.21,46.23,47.92,44.96,53.93,54.42,48.85,54.27,50.71,54.16,48.91,51.7,38.93,50.55,48.06,47.45
quantifiers,73.49,75.76,70.89,73.75,76.3,75.71,61.85,69.68,64.63,64.25,60.12,61.57,72.98,64.45,64.01,68.91,70.69,68.42,67.88,65.58,68.91,66.15,68.78,66.64
subject_verb_agreement,64.32,68.44,67.91,67.43,67.97,67.34,70.86,69.12,69.92,71.85,70.33,71.18,69.38,77.04,73.62,76.26,76.51,77.02,61.73,62.62,61.93,62.4,64.81,65.26
hypernym,49.77,49.65,50.81,50.47,50.12,49.65,49.42,47.21,50.0,49.77,49.88,49.77,49.42,47.09,50.35,48.6,48.37,47.56,50.23,49.88,50.7,48.95,48.02,48.95
qa_congruence_easy,53.12,59.38,57.81,59.38,65.62,67.19,51.56,60.94,57.81,53.12,53.12,57.81,54.69,56.25,62.5,65.62,65.62,67.19,54.69,57.81,53.12,57.81,53.12,54.69
qa_congruence_tricky,35.15,36.97,36.97,37.58,43.03,38.18,39.39,41.82,36.36,41.21,44.85,46.06,34.55,40.61,46.67,46.67,44.24,46.67,33.33,33.94,33.94,35.76,32.73,36.36
subject_aux_inversion,76.95,84.09,82.87,88.48,87.51,86.29,70.63,77.68,76.75,73.14,76.97,75.19,81.65,85.02,84.04,82.75,83.63,83.04,77.07,73.73,73.19,71.19,68.99,70.29
turn_taking,54.64,53.57,56.79,53.93,57.14,55.71,61.07,55.71,59.64,62.86,58.21,58.93,57.14,56.79,57.86,55.71,55.71,55.71,54.29,54.64,60.71,55.71,56.79,56.43
