task,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6
anaphor_agreement,96.98,95.3,97.14,96.27,97.34,97.03
argument_structure,75.69,75.29,76.31,75.08,76.39,75.81
binding,73.27,72.99,72.34,72.02,71.59,71.5
control_raising,70.28,72.4,72.67,70.97,71.48,71.14
determiner_noun_agreement,87.91,90.94,90.72,88.97,89.49,90.06
ellipsis,76.73,75.0,76.56,78.87,78.29,77.89
filler_gap,74.11,74.18,72.7,73.53,73.03,72.67
irregular_forms,85.85,82.8,82.75,77.81,81.53,81.02
island_effects,52.84,52.28,53.81,57.14,55.08,56.84
npi_licensing,42.44,44.15,48.03,46.99,51.79,52.7
quantifiers,67.52,71.59,71.61,70.66,72.18,72.95
subject_verb_agreement,74.67,72.92,72.29,73.82,74.42,74.18
hypernym,50.0,48.49,47.79,49.3,49.65,51.16
qa_congruence_easy,65.62,67.19,65.62,67.19,68.75,70.31
qa_congruence_tricky,43.64,41.82,45.45,41.82,43.64,43.64
subject_aux_inversion,79.14,80.09,81.02,76.97,76.97,76.29
turn_taking,58.21,58.57,58.93,59.29,57.86,58.93
