task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,94.02,92.79,94.73,94.84,94.94,94.53,93.56,95.96,91.62,91.62,93.05,92.54,89.47,93.61,96.11,91.87,94.12,91.87,88.85,85.84,90.95,84.36,87.88,88.09
argument_structure,72.76,74.88,75.39,76.19,76.31,76.65,73.91,74.33,74.08,76.08,76.24,76.2,75.06,75.58,76.08,75.69,76.59,76.47,69.48,71.21,70.73,72.36,72.71,74.49
binding,69.22,71.15,73.23,72.86,72.74,73.64,70.08,69.65,70.75,71.19,70.9,71.61,71.53,70.44,70.41,71.52,71.68,71.4,64.84,67.14,67.85,68.49,67.2,67.93
control_raising,67.28,67.54,69.73,68.74,69.27,68.91,66.11,67.68,67.72,69.35,67.61,67.87,65.64,65.86,67.45,66.22,66.35,66.42,62.44,63.15,65.07,62.53,64.94,64.3
determiner_noun_agreement,87.3,88.81,89.5,89.29,90.81,90.44,89.23,90.41,90.51,90.2,90.03,90.78,90.43,90.77,90.61,90.44,90.9,91.17,84.69,84.37,82.38,86.34,86.37,86.54
ellipsis,75.12,78.0,75.98,77.83,77.37,76.85,75.87,77.37,74.88,75.4,72.86,72.63,80.48,75.75,76.15,76.33,76.44,75.81,69.05,68.88,65.94,70.73,71.54,72.06
filler_gap,66.59,70.7,71.63,73.03,72.61,72.63,68.8,72.61,71.82,72.36,71.55,71.79,70.17,71.65,71.02,72.16,71.72,72.11,66.93,66.76,64.72,68.11,67.99,68.33
irregular_forms,92.47,92.11,82.04,85.6,82.39,80.0,91.45,92.32,88.7,90.13,89.06,89.62,91.4,83.97,87.28,80.76,87.33,86.06,88.35,84.43,91.2,91.3,90.38,91.35
island_effects,51.16,48.36,56.46,54.07,58.33,59.42,46.97,53.7,54.37,53.55,53.1,54.07,48.51,51.72,49.81,48.99,45.63,47.09,47.23,43.39,47.68,43.31,43.2,43.31
npi_licensing,51.76,48.71,47.97,54.02,50.5,51.72,54.56,54.8,51.64,51.25,54.86,51.49,47.57,37.84,50.71,51.23,48.62,52.37,53.75,54.84,54.24,53.87,55.44,58.18
quantifiers,73.36,68.26,68.65,66.0,67.08,64.86,72.67,66.92,57.26,53.84,57.96,60.25,64.19,58.5,65.2,52.47,59.07,57.29,68.32,63.24,62.13,59.04,58.73,61.08
subject_verb_agreement,67.61,69.39,67.03,75.18,71.73,70.91,68.53,70.19,66.67,72.05,68.58,69.86,72.3,64.01,68.42,66.14,68.26,68.15,60.43,64.17,67.24,64.63,67.59,68.08
hypernym,50.35,49.19,47.91,51.05,48.84,49.65,52.21,50.81,48.95,51.05,49.19,49.42,49.88,48.02,50.81,50.0,49.19,49.77,52.21,51.51,50.58,50.35,50.35,51.28
qa_congruence_easy,56.25,60.94,67.19,75.0,73.44,75.0,56.25,57.81,62.5,62.5,59.38,59.38,62.5,57.81,60.94,59.38,60.94,59.38,51.56,51.56,51.56,53.12,54.69,51.56
qa_congruence_tricky,33.94,35.15,41.21,40.61,34.55,35.76,38.79,41.82,41.82,46.06,45.45,44.85,46.06,36.36,35.76,38.18,35.15,33.94,35.15,38.79,36.36,33.94,35.76,34.55
subject_aux_inversion,81.68,81.65,81.95,82.0,81.02,82.12,82.43,81.48,76.02,80.07,79.17,75.97,82.31,80.75,79.85,76.51,68.02,67.58,72.26,72.43,72.36,70.6,73.55,72.21
turn_taking,55.36,61.07,61.79,64.29,64.64,67.5,57.14,59.64,58.93,63.57,61.07,62.14,57.5,61.07,58.57,57.5,59.29,58.21,55.0,56.43,54.29,50.71,55.71,52.5
