task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,87.37,91.92,88.91,86.91,88.65,89.11,93.1,94.33,94.84,94.27,94.22,94.22,93.61,94.48,95.14,96.11,95.4,94.53,89.21,86.25,90.75,89.11,90.85,91.0
argument_structure,70.87,74.98,75.38,75.22,76.81,76.99,73.01,74.49,74.03,76.05,74.95,75.44,73.35,75.34,76.36,76.87,76.35,76.41,69.29,70.36,71.37,71.54,72.24,71.7
binding,71.45,71.89,71.59,73.73,73.58,73.79,67.68,68.36,68.77,70.75,69.8,70.07,68.98,70.21,71.12,70.64,71.4,70.96,67.16,67.9,68.18,67.74,69.44,68.17
control_raising,65.49,67.65,68.4,68.49,68.52,68.21,66.31,68.69,69.35,69.73,70.57,70.37,66.9,67.19,68.76,67.37,68.78,68.71,64.76,64.34,66.33,66.59,66.75,66.42
determiner_noun_agreement,84.55,89.23,90.68,90.52,91.59,91.33,85.24,87.43,90.36,91.49,91.93,91.58,89.49,88.41,90.63,91.74,91.36,90.81,82.37,81.56,82.74,84.06,84.42,84.79
ellipsis,70.32,83.08,77.83,79.85,78.18,77.19,74.08,78.18,78.29,78.23,77.6,78.23,75.46,75.4,78.12,77.42,77.08,77.54,67.84,65.47,75.12,69.46,71.65,72.4
filler_gap,67.97,72.3,72.7,71.38,71.4,71.83,69.5,71.4,73.03,72.88,73.54,73.69,70.82,70.99,71.85,70.95,71.34,71.26,68.05,68.43,69.23,68.55,69.33,70.18
irregular_forms,81.02,86.67,88.91,84.48,83.26,85.39,83.87,82.34,79.54,84.02,81.58,78.88,89.31,87.63,79.29,79.9,80.66,80.05,85.95,86.11,89.62,84.94,87.99,89.06
island_effects,45.63,48.17,44.88,46.45,45.96,47.94,52.77,52.02,53.33,53.55,52.95,53.74,49.36,50.67,52.39,53.89,52.13,53.03,46.34,44.69,45.33,48.65,46.64,49.51
npi_licensing,50.76,48.68,49.1,55.25,54.78,54.6,48.85,51.81,45.28,49.07,47.21,48.16,53.19,55.03,44.15,55.01,50.5,50.17,50.53,54.75,52.61,53.33,57.79,54.98
quantifiers,67.77,70.32,72.0,63.29,61.59,63.91,71.28,68.08,62.44,60.72,62.88,60.72,60.41,56.88,60.28,59.53,62.34,60.59,69.76,65.04,63.83,59.56,60.69,61.33
subject_verb_agreement,57.76,65.31,66.03,64.3,65.2,65.51,63.96,68.53,68.71,71.29,69.99,71.13,68.36,75.07,72.59,73.88,74.92,74.27,58.72,61.88,64.01,62.98,64.93,64.34
hypernym,49.53,50.0,49.77,48.26,48.14,46.74,50.47,50.47,48.49,49.3,48.84,48.14,51.98,48.72,49.07,49.3,48.84,48.6,50.12,49.88,50.47,50.58,51.05,50.35
qa_congruence_easy,42.19,57.81,59.38,53.12,59.38,62.5,53.12,59.38,57.81,65.62,67.19,64.06,62.5,67.19,67.19,70.31,67.19,67.19,56.25,54.69,57.81,59.38,57.81,59.38
qa_congruence_tricky,33.94,33.94,36.36,35.15,36.36,38.79,31.52,33.33,36.36,40.61,40.0,40.61,30.91,29.7,38.18,41.82,40.61,41.82,37.58,33.94,36.97,42.42,37.58,37.58
subject_aux_inversion,72.16,75.58,74.63,77.53,76.41,76.85,71.29,74.46,69.38,64.89,68.94,65.11,84.36,81.19,80.09,76.87,74.87,75.46,73.77,63.72,59.01,67.04,64.8,65.5
turn_taking,60.0,50.71,50.36,52.86,52.5,51.79,56.79,56.79,58.57,58.21,54.64,58.21,56.79,57.14,56.07,60.0,61.43,61.07,50.0,50.36,51.07,51.07,49.64,49.64
