task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,87.53,90.64,92.89,92.48,89.31,90.44,77.51,89.83,90.95,88.09,88.91,88.96,84.87,82.62,87.17,87.93,87.93,87.27,77.1,78.02,76.07,80.83,85.02,85.22
argument_structure,72.49,75.15,75.05,75.28,75.7,76.05,73.73,75.12,75.79,75.45,76.04,75.44,73.88,75.82,74.95,76.87,76.04,76.42,71.51,72.43,71.57,73.55,74.58,74.14
binding,70.61,73.0,71.89,73.2,73.11,73.67,71.31,74.64,73.12,75.45,75.33,75.69,69.5,73.23,73.21,74.7,74.53,74.78,67.39,67.28,69.29,68.94,69.55,69.9
control_raising,65.44,68.05,68.1,67.65,67.98,68.54,66.86,66.68,66.88,67.83,67.26,66.88,66.77,65.8,67.59,66.9,66.92,67.85,63.92,63.74,64.56,64.38,65.75,65.33
determiner_noun_agreement,89.31,89.6,88.88,91.22,91.9,91.79,89.41,90.27,91.24,90.53,91.13,90.51,89.35,90.57,91.1,91.09,90.29,91.22,84.16,86.67,87.34,86.36,87.24,87.74
ellipsis,64.43,73.33,74.48,74.83,73.04,74.77,74.94,77.54,78.93,80.66,78.12,78.35,82.22,79.1,81.81,79.56,79.21,79.21,70.73,72.17,68.36,74.54,71.48,71.3
filler_gap,68.15,68.85,69.31,70.95,71.07,70.96,65.8,69.62,70.01,69.28,70.03,70.07,64.04,70.35,69.42,69.47,70.53,70.42,61.48,64.05,65.42,65.06,65.44,67.16
irregular_forms,92.21,92.21,87.38,90.79,90.69,90.89,89.11,91.76,92.01,92.06,92.67,92.26,90.23,90.94,91.35,90.28,92.26,92.47,88.7,90.43,90.79,91.45,93.59,92.77
island_effects,41.7,44.58,44.77,49.48,49.48,51.49,42.45,45.89,43.87,48.39,47.31,49.96,44.39,44.81,50.0,49.55,50.07,50.75,37.89,42.08,42.71,42.19,43.01,43.12
npi_licensing,43.71,52.87,43.53,39.2,40.27,42.0,50.47,50.23,39.87,36.03,38.93,39.9,50.67,38.46,34.19,36.49,39.08,38.99,48.65,34.33,43.26,39.07,49.15,47.24
quantifiers,64.97,64.5,61.93,66.69,67.41,69.4,71.97,67.83,67.93,66.18,66.05,64.14,65.28,66.85,72.49,68.5,70.22,71.07,63.76,62.75,73.08,72.85,74.73,74.96
subject_verb_agreement,65.38,72.9,73.35,75.83,74.29,77.4,67.46,71.13,73.26,75.03,75.36,74.92,65.64,67.59,68.24,72.18,73.28,74.63,60.94,61.97,60.92,63.41,65.76,67.14
hypernym,50.23,48.49,48.84,49.19,47.79,46.51,50.47,49.77,49.53,48.84,49.53,49.88,48.95,48.72,48.95,49.19,48.72,49.3,49.77,51.05,49.53,50.58,49.42,49.19
qa_congruence_easy,54.69,57.81,56.25,53.12,57.81,57.81,57.81,56.25,67.19,65.62,70.31,70.31,59.38,64.06,62.5,68.75,65.62,68.75,53.12,50.0,54.69,46.88,53.12,53.12
qa_congruence_tricky,34.55,36.36,40.0,44.24,40.61,44.24,34.55,39.39,40.0,42.42,40.0,43.64,38.79,41.21,43.03,36.97,42.42,45.45,35.15,37.58,44.85,35.15,37.58,40.0
subject_aux_inversion,82.83,82.0,78.85,77.99,83.24,83.34,87.88,87.07,83.8,82.73,81.58,83.58,84.19,85.46,79.48,78.92,80.82,78.38,88.05,79.09,87.22,80.43,81.36,82.48
turn_taking,50.36,65.0,66.07,66.07,66.43,64.64,53.93,62.14,61.07,62.86,60.71,58.93,57.5,61.07,61.43,56.43,61.79,59.64,55.71,56.43,55.36,56.07,60.71,58.57
