task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,89.78,77.2,89.67,94.22,93.46,92.28,83.95,83.54,86.71,89.83,87.99,89.11,80.32,88.14,91.56,89.88,89.62,89.62,71.17,76.58,78.73,81.34,76.74,79.55
argument_structure,71.24,74.28,75.99,76.43,76.89,77.18,73.31,75.0,75.29,76.19,77.49,77.56,73.48,75.55,77.8,77.1,78.12,78.49,69.34,70.07,70.62,72.28,71.08,71.67
binding,69.74,72.47,73.15,73.32,73.29,74.3,69.75,72.71,71.36,71.02,72.02,71.62,69.86,71.99,71.85,71.31,71.21,71.34,64.28,65.92,65.14,67.16,68.09,67.11
control_raising,66.15,68.21,68.23,68.69,68.96,68.82,67.26,67.39,68.8,69.11,69.64,70.35,67.21,68.82,68.63,68.89,67.7,68.65,63.57,65.29,64.34,63.52,64.12,64.23
determiner_noun_agreement,85.59,87.28,89.67,91.45,91.42,91.17,85.47,88.69,89.8,90.18,91.12,91.12,87.8,90.1,90.27,91.21,89.3,89.99,78.68,82.38,83.33,83.23,85.03,84.54
ellipsis,72.29,73.15,77.66,80.02,76.96,76.91,74.77,76.44,77.54,80.14,78.18,78.46,75.12,80.43,79.79,80.54,80.83,80.43,70.79,70.73,69.75,69.46,70.96,70.67
filler_gap,67.24,68.74,70.34,70.79,70.82,70.31,64.1,67.02,68.81,69.58,70.46,70.25,68.88,69.33,69.69,71.34,70.32,70.29,62.95,63.51,64.22,63.93,64.47,64.83
irregular_forms,87.23,89.26,87.23,87.68,86.92,88.3,90.38,88.8,88.8,90.74,90.99,90.53,86.41,87.02,91.35,89.97,88.55,89.11,79.13,83.87,83.72,80.76,85.19,87.68
island_effects,47.12,46.82,51.98,53.85,52.54,53.06,45.59,44.84,48.47,49.51,48.51,49.07,46.38,45.7,48.21,47.31,49.03,48.24,43.95,48.39,47.61,47.05,44.92,47.38
npi_licensing,39.1,42.97,45.85,41.39,46.11,47.54,52.26,45.17,34.73,44.69,44.72,42.65,48.56,44.09,46.74,49.26,49.7,52.44,45.23,48.27,39.02,49.98,44.97,46.75
quantifiers,73.24,75.73,74.96,82.07,82.07,76.35,67.93,68.88,71.15,71.1,72.69,72.21,74.11,74.45,73.57,74.5,72.85,73.26,66.59,75.79,67.23,74.73,70.94,70.66
subject_verb_agreement,65.46,69.9,71.44,74.78,72.14,74.33,62.69,67.08,67.7,70.82,69.23,70.8,66.34,70.48,72.0,70.95,68.98,70.82,58.21,57.98,58.64,59.82,59.46,60.89
hypernym,49.88,49.77,51.98,50.7,48.95,50.0,49.53,50.0,49.65,48.49,48.95,48.49,50.0,50.23,48.72,48.95,48.72,48.6,50.93,50.58,50.23,48.72,53.26,51.51
qa_congruence_easy,45.31,54.69,65.62,62.5,60.94,64.06,53.12,56.25,67.19,62.5,64.06,68.75,56.25,60.94,65.62,64.06,64.06,67.19,48.44,50.0,51.56,50.0,53.12,51.56
qa_congruence_tricky,31.52,37.58,38.79,40.61,42.42,44.85,35.15,41.21,36.97,43.03,41.82,40.0,30.91,37.58,41.21,39.39,36.36,40.61,32.12,32.73,35.76,38.18,33.33,38.18
subject_aux_inversion,78.51,75.6,75.24,71.87,70.63,71.68,73.94,76.31,73.77,76.82,79.53,79.29,74.92,71.77,73.14,75.48,74.99,73.68,82.87,73.63,78.8,79.82,78.38,77.21
turn_taking,56.79,57.5,58.57,58.57,60.71,59.29,60.36,56.07,57.14,55.36,57.86,56.79,52.5,57.5,58.57,58.57,57.14,57.5,51.79,50.0,53.57,54.64,53.21,52.86
