task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,91.41,93.71,93.3,89.26,92.08,91.87,93.05,96.83,96.01,96.52,96.68,95.76,95.19,93.56,95.6,96.73,94.79,94.63,92.69,94.07,94.63,95.76,94.43,93.92
argument_structure,72.09,75.78,75.22,75.63,76.67,76.58,74.9,75.56,76.1,75.52,75.68,76.42,74.95,76.36,75.45,77.17,77.07,77.09,72.32,73.33,72.72,74.32,74.66,74.98
binding,67.62,71.49,73.67,73.36,73.85,73.82,69.63,72.38,72.71,72.59,73.61,72.81,71.49,74.1,74.52,72.01,71.94,72.62,70.01,69.15,71.13,72.14,69.35,70.88
control_raising,65.27,67.98,68.43,69.84,69.22,69.44,67.43,69.75,68.98,69.47,70.64,70.26,68.14,68.89,69.91,71.21,72.18,71.79,64.91,64.96,64.43,64.74,65.64,66.46
determiner_noun_agreement,89.99,90.29,92.2,91.24,91.46,91.3,91.13,90.6,92.84,92.42,92.68,92.61,89.46,91.58,91.54,92.07,92.14,92.47,86.3,86.69,88.03,88.8,88.65,89.8
ellipsis,75.46,70.96,75.0,76.33,76.73,75.4,71.13,75.4,75.58,77.6,79.1,77.66,80.54,79.04,78.23,77.71,77.94,78.87,75.06,67.26,74.13,74.94,72.63,73.21
filler_gap,63.65,68.38,71.23,69.7,70.74,70.71,69.51,70.35,71.62,71.38,72.1,71.04,68.83,70.96,71.49,71.29,71.48,71.82,67.06,67.58,66.9,67.77,67.15,67.55
irregular_forms,89.77,82.8,89.62,86.46,89.87,88.6,78.93,80.92,82.6,81.98,79.29,79.64,89.41,87.02,74.55,81.37,84.38,82.6,78.78,81.88,77.05,82.6,83.16,83.56
island_effects,44.73,53.66,51.05,52.88,55.61,56.05,50.6,47.31,50.11,51.35,52.65,51.42,47.61,53.51,52.91,56.32,56.8,56.69,46.11,44.77,43.95,46.79,44.28,43.5
npi_licensing,39.46,51.85,46.48,50.87,52.43,52.6,52.0,52.26,38.55,46.93,42.1,46.87,34.71,50.35,49.45,51.18,55.28,51.67,41.71,39.02,43.77,45.37,46.25,44.9
quantifiers,64.86,67.83,72.93,60.77,64.94,66.41,67.41,57.14,62.55,59.17,60.28,59.76,67.18,69.96,69.55,72.1,65.84,63.68,60.87,56.05,59.09,59.07,61.54,61.67
subject_verb_agreement,62.69,68.13,75.03,74.33,77.18,75.41,63.36,70.15,70.12,69.61,71.38,70.14,71.0,72.01,66.43,75.41,72.57,71.09,60.67,69.92,66.56,69.2,68.85,67.99
hypernym,48.02,47.09,47.91,48.72,48.26,49.77,49.19,51.4,49.77,48.49,49.65,48.6,49.3,47.33,48.72,47.33,48.02,48.02,50.81,50.35,49.3,49.07,49.77,49.53
qa_congruence_easy,48.44,59.38,62.5,62.5,64.06,67.19,60.94,67.19,65.62,68.75,65.62,65.62,64.06,70.31,67.19,70.31,70.31,67.19,56.25,53.12,57.81,62.5,60.94,64.06
qa_congruence_tricky,33.94,47.27,40.0,37.58,39.39,41.21,35.76,40.0,35.76,36.36,38.79,40.0,36.36,40.0,43.03,44.85,44.85,41.82,41.21,34.55,39.39,39.39,35.15,33.94
subject_aux_inversion,81.17,81.09,76.38,73.24,74.63,75.26,71.75,76.04,75.99,75.41,73.94,72.68,72.29,79.21,79.26,77.02,72.7,72.29,73.7,70.92,71.6,69.11,65.31,67.65
turn_taking,57.86,60.36,62.14,60.36,60.36,57.5,56.79,59.29,63.57,63.21,65.0,63.93,62.5,62.14,63.93,61.43,62.14,63.21,53.57,55.0,56.43,54.29,53.93,52.86
