task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,84.61,85.99,93.1,90.13,90.39,91.46,88.19,90.49,95.5,92.79,90.9,94.27,91.21,86.86,94.07,89.83,94.43,93.81,87.07,78.68,78.43,82.62,82.67,84.87
argument_structure,73.8,73.7,75.04,77.23,77.46,77.75,74.73,75.04,77.27,78.04,78.44,79.17,74.9,75.01,76.82,75.67,77.85,77.69,71.88,71.61,72.96,73.1,72.99,74.35
binding,70.02,71.7,71.49,71.22,71.5,71.07,72.08,73.2,73.6,74.15,74.84,74.1,72.23,72.2,71.36,75.5,73.18,73.73,70.91,69.61,72.1,71.31,72.41,71.3
control_raising,66.97,67.81,69.6,69.73,69.38,69.05,65.55,66.9,68.71,69.51,68.6,68.49,64.07,67.28,67.68,68.63,68.16,68.43,60.23,65.13,65.02,64.47,64.89,65.31
determiner_noun_agreement,86.98,88.0,88.6,89.39,90.28,90.41,91.25,89.18,90.56,90.94,90.43,91.08,90.19,91.81,90.82,90.53,91.05,91.04,87.81,86.79,86.36,88.42,86.78,88.01
ellipsis,69.69,74.36,73.79,76.27,75.64,75.81,75.0,79.33,80.31,81.7,80.95,80.77,84.01,78.06,79.73,76.33,80.89,79.73,70.38,71.71,70.21,65.65,72.29,72.63
filler_gap,67.94,67.62,71.51,71.49,72.05,71.93,70.99,69.73,72.52,71.71,70.93,71.13,72.04,71.38,71.16,70.53,70.93,70.73,66.23,65.06,65.64,67.15,66.64,67.96
irregular_forms,89.01,86.62,84.99,88.55,88.91,89.62,83.56,89.67,84.58,84.99,86.87,87.89,86.77,86.16,83.87,86.51,87.99,87.23,75.57,75.62,83.56,75.11,83.41,82.65
island_effects,50.67,47.42,52.2,48.24,48.73,50.19,51.35,53.62,51.87,55.34,54.45,56.54,49.55,54.04,56.99,55.49,55.01,54.78,43.05,46.15,51.64,49.03,49.63,49.93
npi_licensing,50.79,51.97,37.05,46.14,40.65,43.43,42.97,40.94,51.31,41.76,44.41,43.73,33.19,46.11,36.47,48.54,47.46,48.04,37.76,39.69,44.85,35.8,36.23,37.88
quantifiers,74.19,73.29,73.54,71.56,71.79,70.53,71.33,67.23,64.25,69.19,70.12,70.43,72.69,73.96,66.38,64.58,64.27,63.21,78.39,72.51,68.5,73.65,72.44,72.69
subject_verb_agreement,63.14,68.53,69.79,70.21,70.71,69.12,65.69,69.16,71.94,73.32,72.74,73.73,72.7,68.42,72.56,72.07,74.92,74.72,59.82,61.99,61.43,61.25,62.22,63.22
hypernym,48.6,49.42,50.0,49.65,49.07,48.84,48.72,49.53,50.47,49.65,48.84,49.53,50.12,49.65,50.47,49.88,49.88,50.7,51.16,51.51,49.65,50.35,50.81,50.35
qa_congruence_easy,54.69,53.12,56.25,65.62,73.44,71.88,57.81,57.81,60.94,57.81,56.25,62.5,60.94,65.62,65.62,62.5,68.75,65.62,53.12,54.69,50.0,53.12,54.69,54.69
qa_congruence_tricky,41.21,36.36,42.42,43.03,40.0,42.42,43.03,43.64,46.67,47.27,46.06,49.09,43.64,43.03,44.85,41.21,43.03,46.06,37.58,38.79,38.79,35.15,40.61,40.0
subject_aux_inversion,75.9,80.48,78.09,77.73,81.21,79.85,79.12,83.31,81.21,83.02,81.51,81.09,80.65,79.68,83.22,82.26,78.99,80.95,67.02,72.97,69.31,78.12,68.31,68.07
turn_taking,56.07,58.21,58.57,56.07,59.29,56.43,58.93,58.21,59.29,59.64,61.07,62.5,54.29,57.86,60.0,57.14,61.43,60.71,57.5,54.64,59.29,57.5,55.36,58.57
