task,c5-interleaved-1,c5-interleaved-2,c5-interleaved-3,c5-interleaved-4,c5-interleaved-5,c5-interleaved-6,c5-interleaved2-1,c5-interleaved2-2,c5-interleaved2-3,c5-interleaved2-4,c5-interleaved2-5,c5-interleaved2-6,c5-sequential-1,c5-sequential-2,c5-sequential-3,c5-sequential-4,c5-sequential-5,c5-sequential-6,c5-sequential-ewc-1,c5-sequential-ewc-2,c5-sequential-ewc-3,c5-sequential-ewc-4,c5-sequential-ewc-5,c5-sequential-ewc-6
anaphor_agreement,91.72,90.75,92.89,91.26,94.48,94.12,85.63,89.01,89.01,89.31,91.97,91.31,90.03,88.96,88.39,86.4,84.66,87.73,82.98,81.54,83.28,83.44,84.05,85.53
argument_structure,72.71,75.38,74.89,75.27,75.23,75.53,73.08,75.38,74.37,74.95,75.56,75.35,74.64,75.85,76.52,77.27,76.44,77.63,69.64,70.77,70.6,72.27,71.42,72.26
binding,69.49,72.69,72.41,72.04,73.0,72.53,68.92,72.29,71.15,71.88,72.68,72.14,70.58,72.56,70.45,70.75,71.28,71.46,62.1,67.56,68.45,67.56,67.72,68.7
control_raising,66.11,67.5,67.59,68.67,68.45,68.21,65.36,68.87,68.6,68.94,69.24,69.07,66.31,68.45,69.05,69.07,67.54,68.16,64.16,64.41,65.0,65.05,65.71,65.22
determiner_noun_agreement,85.68,88.35,88.07,90.98,91.04,91.36,85.0,88.9,88.89,89.83,90.24,90.68,88.57,88.72,90.32,89.7,90.15,90.37,80.3,80.31,82.38,81.46,82.79,83.52
ellipsis,69.34,76.85,79.04,77.54,77.19,77.31,69.86,77.42,76.85,75.06,75.06,76.27,79.79,81.29,77.02,78.81,76.96,78.7,66.92,67.15,68.53,69.57,69.98,69.57
filler_gap,66.09,67.32,69.84,70.82,70.77,70.87,65.62,67.94,66.99,68.67,68.02,68.3,68.0,68.69,70.48,69.83,70.06,70.57,62.67,62.25,62.87,62.81,63.74,64.05
irregular_forms,80.71,83.56,88.24,88.75,89.97,89.87,79.39,84.83,83.87,84.73,83.36,83.05,89.52,86.36,87.18,83.16,84.78,86.82,84.48,80.46,85.04,86.51,86.36,84.43
island_effects,48.28,53.4,54.33,56.39,54.6,56.02,45.93,48.17,50.3,51.05,49.93,51.79,49.48,51.46,50.6,51.2,52.95,51.61,42.56,42.68,48.69,45.07,46.94,44.21
npi_licensing,50.68,49.98,53.42,50.46,50.41,51.31,50.53,50.05,52.2,49.64,53.46,52.98,38.66,39.74,32.89,33.05,36.68,38.1,43.43,41.89,40.48,41.19,39.55,45.16
quantifiers,60.02,67.21,64.37,67.57,71.87,72.13,67.62,62.78,63.86,70.48,70.74,66.05,67.75,76.48,67.18,73.67,81.63,79.06,61.72,70.35,66.13,67.7,70.17,67.41
subject_verb_agreement,62.75,72.43,70.06,69.88,72.79,72.81,58.64,64.64,63.72,63.6,65.29,63.96,62.06,68.71,65.91,67.77,65.6,67.62,56.39,57.58,58.08,59.95,60.05,60.83
hypernym,51.28,49.19,48.49,48.95,47.79,48.49,51.4,49.88,49.77,49.65,50.58,48.84,48.14,47.79,48.14,48.95,49.07,48.49,49.88,50.0,51.4,50.7,52.09,50.81
qa_congruence_easy,53.12,53.12,50.0,57.81,57.81,59.38,53.12,57.81,57.81,53.12,62.5,62.5,56.25,56.25,62.5,64.06,62.5,62.5,53.12,45.31,50.0,51.56,46.88,50.0
qa_congruence_tricky,38.79,41.82,40.61,46.06,49.09,46.06,36.36,34.55,33.33,30.91,38.18,35.76,37.58,30.91,30.3,30.91,32.12,33.94,35.76,39.39,37.58,35.15,36.97,38.79
subject_aux_inversion,82.65,65.21,73.33,66.75,71.65,71.63,81.31,73.26,79.26,79.17,77.21,77.31,76.34,69.85,74.58,82.04,79.48,79.36,69.68,68.87,72.77,69.68,68.6,68.43
turn_taking,58.57,53.21,57.14,61.79,62.14,61.07,59.29,53.93,61.07,57.14,60.71,60.0,52.5,56.43,58.21,55.0,57.5,58.21,51.79,57.86,56.79,58.93,58.93,59.64
