task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6
anaphor_agreement,94.22,94.84,96.42,97.39,98.26,98.52
argument_structure,79.5,77.76,80.8,79.97,80.38,80.81
binding,73.51,73.58,73.4,75.26,75.02,75.1
control_raising,69.58,71.83,73.16,75.08,74.46,74.44
determiner_noun_agreement,93.48,94.18,94.97,95.15,95.11,95.4
ellipsis,77.77,81.06,85.33,84.24,84.82,83.2
filler_gap,72.72,74.81,78.51,76.84,75.09,76.24
irregular_forms,89.36,92.37,92.82,92.88,93.03,93.99
island_effects,58.45,65.55,65.62,65.84,63.49,60.95
npi_licensing,46.3,36.11,47.31,55.5,52.92,54.98
quantifiers,79.37,80.37,77.23,75.89,76.48,79.29
subject_verb_agreement,76.51,78.5,82.13,80.47,80.96,82.28
hypernym,47.91,48.37,46.86,49.42,47.44,47.91
qa_congruence_easy,59.38,65.62,70.31,65.62,70.31,70.31
qa_congruence_tricky,35.15,44.24,46.06,41.82,44.85,49.7
subject_aux_inversion,86.95,85.56,86.36,89.85,86.14,89.19
turn_taking,63.21,66.43,66.79,69.64,70.36,70.36
