task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6
anaphor_agreement,97.19,97.55,98.62,98.01,98.47,98.21
argument_structure,81.11,82.5,81.55,81.96,81.78,81.64
binding,77.11,77.1,77.31,77.13,77.75,78.01
control_raising,75.01,76.25,76.58,77.51,76.6,76.8
determiner_noun_agreement,95.82,96.54,95.58,96.0,95.73,95.85
ellipsis,86.49,85.51,83.6,86.37,85.22,85.8
filler_gap,76.35,76.74,76.19,75.74,75.71,76.41
irregular_forms,92.62,94.05,90.18,90.84,91.15,91.09
island_effects,58.67,60.35,61.58,60.72,60.46,62.03
npi_licensing,54.97,55.88,48.42,61.39,56.7,57.36
quantifiers,77.43,65.02,77.64,73.72,74.96,74.94
subject_verb_agreement,84.35,84.26,82.96,83.27,83.81,84.35
hypernym,48.14,48.02,47.79,48.26,47.44,47.91
qa_congruence_easy,78.12,76.56,75.0,73.44,75.0,75.0
qa_congruence_tricky,52.12,52.73,52.73,56.36,56.36,56.36
subject_aux_inversion,87.41,85.46,87.97,86.83,85.36,86.44
turn_taking,74.29,72.14,71.79,71.43,73.57,72.86
