task,c1-sequential-de-1,c1-sequential-de-2,c1-sequential-de-3,c1-sequential-de-4,c1-sequential-de-5,c1-sequential-de-6,c1-sequential-fi-1,c1-sequential-fi-2,c1-sequential-fi-3,c1-sequential-fi-4,c1-sequential-fi-5,c1-sequential-fi-6
anaphor_agreement,93.66,96.11,96.93,97.03,97.75,97.85,94.68,95.76,97.44,98.16,98.36,98.36
argument_structure,78.53,79.87,79.86,81.0,81.33,81.68,78.54,80.29,81.15,82.61,81.92,82.47
binding,74.86,75.7,75.97,77.2,77.16,77.4,74.62,75.88,73.57,75.2,76.33,75.97
control_raising,72.47,74.72,75.43,76.12,77.38,76.96,71.9,72.03,75.19,75.94,76.45,76.73
determiner_noun_agreement,93.61,95.16,95.01,95.45,95.09,95.23,92.68,94.17,94.5,94.86,95.16,95.16
ellipsis,85.33,87.18,85.05,86.55,85.05,85.45,84.3,86.14,84.93,85.74,85.85,85.97
filler_gap,74.07,74.32,76.14,76.17,76.39,76.17,73.98,75.66,75.41,74.2,74.63,75.15
irregular_forms,94.45,91.91,91.91,95.17,95.06,94.45,94.66,89.77,91.4,92.98,92.06,92.42
island_effects,52.8,54.45,57.74,60.46,61.43,59.98,60.46,61.85,62.29,59.27,58.11,61.7
npi_licensing,48.59,55.75,53.07,56.97,62.37,60.2,57.0,56.24,56.91,58.34,55.85,58.62
quantifiers,64.53,65.48,67.47,60.07,67.44,68.34,68.34,71.05,61.33,65.04,63.11,64.09
subject_verb_agreement,78.16,82.66,82.4,84.17,86.25,84.84,77.62,79.48,79.82,83.49,82.73,81.92
hypernym,47.56,48.02,49.07,48.84,51.16,51.28,46.63,47.44,46.05,45.0,45.35,44.88
qa_congruence_easy,62.5,60.94,62.5,70.31,70.31,71.88,67.19,71.88,71.88,70.31,73.44,71.88
qa_congruence_tricky,42.42,43.03,45.45,50.3,49.7,53.94,43.64,49.09,47.27,52.12,47.88,49.09
subject_aux_inversion,83.58,79.65,80.75,79.21,78.53,79.8,81.75,82.92,79.63,77.04,79.51,81.41
turn_taking,68.93,71.79,70.71,71.07,72.86,72.14,71.79,68.57,67.86,71.79,68.57,69.64
