task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6
anaphor_agreement,94.89,96.88,98.36,98.52,98.72,98.82,97.03,98.06,98.06,98.26,98.26,98.57,80.37,70.35,74.39,84.46,83.03,80.52,97.34,96.27,97.49,97.49,97.6,97.03
argument_structure,77.58,78.46,80.32,80.19,80.35,80.67,79.39,79.06,79.62,79.75,79.96,80.19,65.06,64.91,64.72,64.56,64.76,65.52,79.01,79.26,77.44,78.59,78.33,78.84
binding,72.89,75.2,74.89,76.31,75.97,76.64,74.44,77.03,74.95,75.88,74.89,75.26,59.96,62.63,59.82,58.16,60.58,62.04,79.88,79.8,80.96,80.62,80.77,81.11
control_raising,73.09,72.89,74.92,74.59,74.97,75.25,74.57,75.92,76.16,75.5,76.12,76.49,61.93,59.54,58.44,58.95,60.23,59.96,72.87,72.25,69.97,71.45,71.65,72.07
determiner_noun_agreement,92.51,93.7,94.21,95.43,95.48,95.54,92.46,93.62,94.25,94.25,94.86,94.72,65.55,65.57,65.91,64.07,65.04,65.31,93.77,93.95,93.91,93.82,93.97,94.15
ellipsis,84.18,83.89,83.49,85.39,85.51,84.41,84.18,83.49,82.16,82.97,82.79,82.74,60.33,51.33,55.54,58.14,59.35,57.68,82.56,83.55,81.58,83.03,83.14,82.91
filler_gap,73.51,75.26,72.61,74.37,75.29,75.23,76.08,75.77,75.94,76.31,75.99,76.5,60.38,62.84,60.49,60.41,60.22,59.8,74.56,74.03,73.08,73.56,73.97,74.01
irregular_forms,94.66,93.49,93.64,94.2,95.01,94.55,88.85,92.82,91.81,93.33,92.47,92.26,80.1,79.95,75.37,77.25,77.1,76.34,89.47,91.04,89.57,90.33,90.28,90.64
island_effects,53.96,59.6,64.16,57.06,62.59,62.07,57.29,62.26,60.87,61.32,61.36,61.85,47.31,48.09,47.16,51.79,53.29,52.32,59.79,63.83,64.72,63.38,62.89,62.86
npi_licensing,53.22,54.89,58.43,53.83,53.84,52.26,52.69,48.98,48.89,57.96,54.04,53.1,44.46,38.66,34.86,31.79,38.13,30.99,58.24,54.89,52.79,54.78,53.11,53.83
quantifiers,67.59,69.14,72.93,70.66,73.16,73.67,66.51,75.3,63.32,61.62,66.41,64.76,47.06,45.31,46.45,40.96,47.68,47.01,68.29,68.16,64.89,64.04,66.33,65.46
subject_verb_agreement,77.45,78.54,78.97,82.91,81.01,82.06,81.57,83.74,81.19,84.99,82.67,83.79,55.25,52.95,53.93,54.89,53.91,54.09,78.68,77.25,76.71,77.76,76.93,77.49
hypernym,48.02,48.95,49.65,48.95,48.84,48.37,48.84,49.07,48.72,48.02,48.02,47.67,50.93,49.88,49.77,49.42,48.02,48.49,49.07,48.95,49.19,48.84,50.23,49.3
qa_congruence_easy,62.5,68.75,75.0,75.0,76.56,75.0,70.31,73.44,71.88,76.56,79.69,78.12,53.12,48.44,51.56,54.69,54.69,54.69,60.94,62.5,60.94,60.94,60.94,60.94
qa_congruence_tricky,45.45,41.82,44.24,47.27,49.09,52.12,50.91,47.27,50.91,51.52,52.12,52.73,30.3,31.52,33.94,32.12,32.12,32.12,41.82,39.39,40.0,39.39,38.79,38.79
subject_aux_inversion,81.39,81.82,86.66,81.8,83.8,85.09,75.19,81.34,79.53,82.19,83.48,82.9,72.92,70.51,69.33,69.31,67.28,68.28,79.17,78.87,79.04,78.31,79.56,79.34
turn_taking,64.29,67.14,66.07,65.71,68.57,68.93,70.0,74.29,72.5,71.79,73.93,72.86,56.07,50.71,52.14,50.0,47.86,47.5,69.64,69.64,67.14,69.29,66.43,66.43
