task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6
anaphor_agreement,93.35,95.65,96.01,97.6,96.27,97.44,96.98,98.31,98.57,98.21,98.47,98.77,46.93,41.46,37.93,42.48,42.13,44.68,96.52,94.73,95.3,94.43,94.07,94.12
argument_structure,78.96,79.36,78.69,80.0,80.42,80.41,80.33,79.51,79.35,79.69,80.21,80.33,62.2,61.65,61.71,62.23,62.25,62.11,80.29,79.52,80.4,80.27,80.08,80.29
binding,72.72,72.16,74.21,73.61,74.06,74.41,73.79,75.51,77.14,75.85,76.11,76.25,59.65,63.13,63.43,63.92,64.38,63.74,76.31,75.76,75.48,75.16,75.33,75.72
control_raising,70.35,73.51,72.71,74.24,73.97,74.48,73.88,74.35,74.41,75.12,74.81,75.03,59.19,58.04,56.81,56.27,55.7,55.92,74.04,73.44,74.72,74.97,74.75,74.86
determiner_noun_agreement,92.61,94.99,94.67,94.47,95.31,95.2,93.61,94.75,95.05,94.92,95.01,95.2,64.72,61.92,60.85,60.78,59.88,59.11,94.13,95.04,95.11,95.19,95.23,94.97
ellipsis,81.29,82.79,84.41,85.05,84.7,84.24,85.1,85.16,86.26,85.62,85.28,84.82,61.61,52.25,55.77,54.79,58.95,58.31,85.45,85.39,85.51,84.87,84.87,85.22
filler_gap,71.6,75.44,74.85,74.46,75.82,75.63,76.21,78.79,77.19,77.45,76.5,76.81,63.48,65.03,65.75,64.36,66.79,66.9,73.3,73.83,73.92,73.89,73.97,74.11
irregular_forms,85.19,90.43,90.38,93.18,93.23,93.33,89.67,89.11,92.88,88.91,90.43,90.13,62.95,65.24,58.78,59.59,60.87,60.2,91.3,88.96,90.84,89.92,90.33,90.69
island_effects,52.99,59.98,61.81,59.68,60.65,61.47,58.93,61.4,62.63,63.3,61.4,62.56,57.88,56.05,56.02,57.03,55.83,55.83,54.71,55.08,53.14,53.85,54.52,54.48
npi_licensing,40.97,41.33,47.84,50.11,41.06,43.47,41.91,42.62,42.41,51.96,47.59,49.41,45.07,53.84,56.7,59.47,61.01,60.96,52.99,49.01,55.48,50.52,49.92,51.46
quantifiers,76.61,72.23,78.75,72.08,73.85,74.73,73.42,66.46,74.99,78.57,73.16,76.58,29.34,41.83,46.29,37.48,43.92,40.49,58.73,54.64,53.3,54.89,52.34,53.53
subject_verb_agreement,75.03,79.42,78.63,83.0,80.74,83.41,79.91,76.48,81.19,81.12,78.93,80.6,53.46,51.92,50.44,50.7,50.89,51.11,78.46,73.08,77.25,74.91,75.5,75.56
hypernym,48.84,48.95,48.49,47.21,47.67,47.33,47.21,44.88,46.74,46.74,47.33,46.86,49.65,51.51,52.91,51.74,50.7,50.23,47.21,48.37,48.37,47.56,48.14,48.14
qa_congruence_easy,67.19,71.88,76.56,70.31,70.31,73.44,73.44,73.44,71.88,70.31,68.75,71.88,40.62,39.06,37.5,43.75,42.19,43.75,59.38,56.25,59.38,60.94,59.38,59.38
qa_congruence_tricky,49.7,46.67,53.33,53.94,55.15,54.55,47.27,46.67,51.52,48.48,48.48,49.7,35.15,29.09,27.88,25.45,25.45,26.06,43.64,42.42,41.82,40.0,41.82,40.61
subject_aux_inversion,80.07,77.56,80.29,77.46,81.24,82.0,83.17,87.56,84.58,83.8,88.44,86.41,55.5,71.41,64.7,65.38,67.92,67.19,86.26,89.12,87.73,87.58,87.7,88.07
turn_taking,62.5,62.86,68.93,66.43,67.86,67.86,71.43,72.14,70.36,72.5,74.29,74.29,54.64,53.57,50.71,47.14,47.5,44.29,70.36,72.5,72.14,71.79,72.14,72.14
