task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6
anaphor_agreement,85.33,91.26,88.45,87.22,92.84,93.35
argument_structure,61.25,60.73,65.49,70.66,72.27,73.63
binding,65.09,67.16,66.43,67.08,70.35,69.07
control_raising,59.32,59.32,61.44,66.7,68.38,68.87
determiner_noun_agreement,53.83,57.28,85.76,92.99,94.09,95.17
ellipsis,49.02,63.22,72.17,86.89,89.32,90.42
filler_gap,70.32,69.97,61.53,65.47,68.77,70.17
irregular_forms,57.05,56.79,77.56,89.36,90.03,88.04
island_effects,47.83,50.56,38.04,53.33,55.53,55.08
npi_licensing,45.79,50.84,53.28,51.59,59.91,63.42
quantifiers,47.06,46.86,58.94,69.58,65.35,69.71
subject_verb_agreement,50.66,52.65,56.42,70.95,73.55,75.28
hypernym,50.23,51.28,49.65,48.95,47.91,50.93
qa_congruence_easy,42.19,48.44,54.69,59.38,56.25,54.69
qa_congruence_tricky,27.27,33.94,36.36,33.94,35.15,35.15
subject_aux_inversion,67.09,69.75,71.58,74.87,73.02,75.04
turn_taking,58.21,58.93,55.36,59.64,65.71,63.93
