task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6
anaphor_agreement,92.08,94.79,92.54,92.54,92.69,91.16
argument_structure,74.92,73.59,74.18,74.42,73.88,73.85
binding,70.23,70.35,67.08,67.13,67.51,65.78
control_raising,68.6,70.99,69.2,69.35,70.79,70.66
determiner_noun_agreement,95.39,95.97,95.74,95.8,95.84,95.86
ellipsis,87.64,85.16,85.22,83.43,82.39,83.37
filler_gap,68.88,70.45,69.17,69.2,67.43,66.95
irregular_forms,90.59,92.47,92.98,92.11,90.74,89.47
island_effects,59.12,55.34,55.38,55.61,55.42,52.88
npi_licensing,68.58,68.08,70.29,63.47,66.31,66.31
quantifiers,74.19,65.02,64.66,66.02,65.64,63.68
subject_verb_agreement,73.93,72.65,68.18,71.45,70.35,69.27
hypernym,50.7,51.16,49.77,46.51,46.51,45.58
qa_congruence_easy,60.94,60.94,71.88,71.88,67.19,73.44
qa_congruence_tricky,35.15,46.67,47.27,48.48,49.7,50.91
subject_aux_inversion,72.87,71.65,72.29,72.29,73.92,73.38
turn_taking,67.86,70.0,72.5,68.57,70.0,68.93
