task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6
anaphor_agreement,85.99,78.32,81.08,86.15,84.71,85.28,87.68,89.11,92.38,92.08,91.97,92.69,58.95,48.72,47.75,47.49,48.16,48.31,84.82,86.55,86.09,87.37,85.33,85.84
argument_structure,59.76,58.84,65.09,69.0,68.49,69.28,68.2,68.47,68.8,69.91,69.56,69.77,61.98,61.82,61.01,61.45,60.95,60.78,66.89,67.23,66.72,66.57,66.49,66.6
binding,66.56,63.49,67.71,68.8,70.04,69.62,66.8,66.5,65.38,67.96,66.46,66.89,58.56,60.4,56.32,56.87,56.03,56.5,65.23,66.25,65.66,66.83,66.65,66.22
control_raising,58.84,59.85,63.41,64.14,63.28,63.19,66.57,65.22,68.32,69.07,67.76,68.18,54.44,57.47,57.8,56.89,56.76,56.39,66.04,65.53,66.33,65.73,65.51,65.38
determiner_noun_agreement,57.13,62.07,87.15,90.45,90.32,90.2,89.66,90.25,90.77,91.08,91.71,91.55,63.55,60.06,58.02,58.59,58.26,57.53,86.32,86.33,87.35,86.93,85.6,86.22
ellipsis,54.16,51.5,84.06,89.09,88.8,88.28,84.82,80.54,76.73,85.45,83.55,85.05,63.28,62.07,61.84,64.84,62.93,63.86,75.0,77.66,77.77,76.04,75.52,75.64
filler_gap,68.86,58.98,60.94,64.78,64.1,64.25,66.37,64.27,65.62,67.9,65.55,66.29,62.23,60.43,56.15,60.05,61.69,61.22,64.46,67.13,65.89,66.03,65.11,65.25
irregular_forms,57.56,57.05,82.34,85.65,86.56,85.55,88.24,87.63,88.3,91.04,89.21,89.16,71.7,69.01,59.69,66.82,64.38,65.24,91.55,92.26,91.7,92.06,92.01,92.42
island_effects,57.85,39.72,41.82,35.65,38.0,40.28,39.39,39.72,40.77,36.85,44.84,45.22,44.77,51.72,52.95,51.79,50.37,47.53,35.24,35.99,36.7,36.36,38.42,37.37
npi_licensing,40.97,45.9,56.86,56.5,56.91,58.81,72.23,68.11,67.45,68.48,65.76,65.21,69.12,69.75,68.84,65.67,62.1,61.81,60.77,63.39,61.92,60.8,60.19,60.26
quantifiers,48.38,57.96,62.44,64.5,65.84,64.17,74.29,73.98,74.5,70.84,74.21,70.89,43.07,51.55,44.54,53.53,51.24,51.8,68.62,66.38,71.23,66.51,64.37,66.59
subject_verb_agreement,53.13,50.59,61.66,67.62,68.31,67.71,69.21,66.52,67.97,68.6,67.53,67.52,51.22,51.38,49.12,48.78,49.59,49.09,64.32,64.97,64.77,63.67,63.52,64.39
hypernym,51.63,50.0,49.53,48.02,46.63,46.05,51.63,47.21,49.77,49.3,48.95,49.19,49.19,50.12,49.77,49.65,47.91,48.14,48.26,50.47,48.6,49.07,50.0,48.95
qa_congruence_easy,46.88,51.56,54.69,57.81,60.94,60.94,68.75,62.5,53.12,57.81,57.81,60.94,51.56,59.38,51.56,48.44,56.25,53.12,54.69,60.94,57.81,54.69,54.69,54.69
qa_congruence_tricky,31.52,33.33,53.94,40.61,40.0,40.0,47.27,41.21,44.85,45.45,40.0,43.03,30.91,32.73,32.12,30.91,30.91,30.91,38.79,42.42,38.18,40.61,40.61,41.82
subject_aux_inversion,66.21,66.38,84.73,82.9,82.75,82.41,81.92,77.85,81.34,84.83,78.6,78.92,56.43,58.23,55.82,56.4,55.35,59.11,80.04,80.63,81.82,80.04,78.78,79.73
turn_taking,64.29,61.43,62.86,63.21,63.93,62.86,67.14,65.36,70.36,67.86,69.29,70.36,50.36,50.0,51.43,47.86,48.57,46.43,63.57,65.71,67.14,66.07,66.07,66.43
