task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6,c2-interleaved-1,c2-interleaved-2,c2-interleaved-3,c2-interleaved-4,c2-interleaved-5,c2-interleaved-6,c2-interleaved2-1,c2-interleaved2-2,c2-interleaved2-3,c2-interleaved2-4,c2-interleaved2-5,c2-interleaved2-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c2-sequential-ewc-1,c2-sequential-ewc-2,c2-sequential-ewc-3,c2-sequential-ewc-4,c2-sequential-ewc-5,c2-sequential-ewc-6,c3-interleaved-1,c3-interleaved-2,c3-interleaved-3,c3-interleaved-4,c3-interleaved-5,c3-interleaved-6,c3-interleaved2-1,c3-interleaved2-2,c3-interleaved2-3,c3-interleaved2-4,c3-interleaved2-5,c3-interleaved2-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6,c3-sequential-ewc-1,c3-sequential-ewc-2,c3-sequential-ewc-3,c3-sequential-ewc-4,c3-sequential-ewc-5,c3-sequential-ewc-6
anaphor_agreement,93.35,95.65,96.01,97.6,96.27,97.44,95.86,96.68,97.14,97.6,97.55,97.85,95.81,97.03,98.47,97.9,97.29,97.55,88.55,93.3,94.17,93.71,93.35,93.71,92.02,94.63,97.24,98.11,96.42,97.39,96.68,96.22,96.98,97.7,96.93,97.55,95.86,97.49,98.47,98.67,98.82,98.62,91.56,90.44,90.95,89.93,91.05,91.0,89.11,95.14,95.09,97.96,97.03,98.21,94.89,98.11,97.7,98.06,97.9,97.75,98.21,97.14,98.57,97.9,98.06,97.8,91.0,93.51,94.07,92.69,93.81,93.61
argument_structure,78.96,79.36,78.69,80.0,80.42,80.41,77.73,77.63,78.89,79.34,79.87,79.06,78.84,80.41,80.56,80.94,80.93,80.77,69.45,68.91,68.71,69.44,69.14,69.17,77.38,79.41,79.7,80.77,81.11,81.21,76.55,78.32,78.42,77.8,78.69,79.07,79.5,79.56,80.01,80.8,80.81,80.89,70.67,70.2,69.62,69.98,69.62,69.56,73.93,76.84,76.93,75.46,77.22,77.7,76.89,77.96,78.14,78.21,78.75,78.5,78.9,79.56,77.92,80.04,80.06,79.53,71.41,73.68,74.45,73.75,74.7,75.01
binding,72.72,72.16,74.21,73.61,74.06,74.41,72.51,74.06,73.94,74.04,75.23,74.09,71.36,72.51,73.11,73.58,74.65,74.74,67.65,67.04,64.93,66.21,66.68,66.24,71.77,72.66,73.46,74.21,73.6,73.82,71.85,72.45,73.3,74.03,74.03,73.92,70.3,73.57,72.71,74.34,74.71,74.78,67.54,67.56,67.38,67.66,67.17,67.63,69.99,72.38,75.68,75.16,75.65,75.54,70.63,73.35,73.85,73.33,74.21,74.4,73.23,75.01,72.2,73.08,74.1,74.64,69.31,69.55,68.8,69.04,69.41,69.28
control_raising,70.35,73.51,72.71,74.24,73.97,74.48,72.45,74.35,74.35,74.52,74.66,75.23,72.93,74.41,75.34,74.9,75.54,75.34,66.26,66.84,67.94,66.84,67.06,67.41,70.64,71.76,73.93,74.72,74.13,74.68,75.17,74.81,76.16,74.59,75.3,75.43,73.07,74.08,74.15,75.36,75.61,75.7,65.67,66.42,66.68,66.04,67.19,67.01,70.0,72.38,73.62,73.53,74.48,74.66,73.51,74.59,73.4,74.75,74.75,74.66,70.81,73.6,73.62,74.66,74.99,74.28,66.77,67.92,69.58,68.78,68.96,69.75
determiner_noun_agreement,92.61,94.99,94.67,94.47,95.31,95.2,93.18,92.96,94.56,94.55,94.7,94.54,93.38,95.04,94.01,94.27,94.54,94.82,81.25,82.22,81.32,81.49,81.78,81.87,92.14,93.05,93.75,94.07,93.95,94.36,92.06,94.99,94.68,94.59,94.82,94.97,92.07,93.79,94.67,95.04,95.36,95.28,80.02,79.5,78.9,78.08,79.37,78.81,88.07,92.54,93.89,93.94,93.99,94.14,91.74,93.2,94.3,93.74,94.31,94.56,93.42,94.47,95.48,94.8,95.49,95.74,84.63,86.1,86.0,85.99,86.63,87.03
ellipsis,81.29,82.79,84.41,85.05,84.7,84.24,81.41,81.35,83.08,84.18,85.62,84.76,80.83,83.72,83.89,81.76,83.14,83.78,74.94,73.85,74.54,75.0,74.6,75.17,77.54,83.89,86.43,84.47,84.82,84.93,82.39,81.7,85.85,81.93,83.2,83.26,82.85,85.57,84.01,84.06,84.01,84.82,74.48,74.6,74.6,75.29,74.94,75.0,67.9,80.54,83.49,82.33,80.66,80.54,82.22,82.27,83.2,80.37,81.87,82.68,79.97,82.51,81.24,82.68,83.78,84.58,72.17,76.44,75.69,76.67,74.71,76.15
filler_gap,71.6,75.44,74.85,74.46,75.82,75.63,71.62,73.25,74.4,75.23,74.99,75.26,74.26,76.17,75.12,75.33,75.57,76.03,67.86,68.67,68.07,66.99,68.32,68.16,72.56,75.09,74.84,75.23,76.98,76.17,74.01,75.4,74.96,75.02,75.61,75.41,71.86,73.93,74.51,74.87,75.61,75.47,67.74,67.91,67.69,67.6,67.62,67.96,71.91,75.88,74.98,75.61,76.36,75.88,73.78,75.63,76.84,76.6,78.12,77.92,75.97,75.32,77.03,75.99,77.14,77.98,73.02,72.04,72.84,72.56,72.35,72.69
irregular_forms,85.19,90.43,90.38,93.18,93.23,93.33,89.92,87.28,90.48,91.09,92.52,91.81,95.37,91.3,94.91,93.94,94.35,93.64,87.53,88.6,89.82,88.65,89.06,88.5,93.64,93.13,91.55,95.01,94.35,95.17,93.18,86.01,85.65,88.04,88.6,87.18,93.84,95.83,94.71,95.83,93.69,94.55,86.11,85.24,86.72,86.46,89.21,87.84,95.22,88.6,88.35,92.16,90.33,91.15,96.79,94.3,90.79,91.76,88.6,88.7,91.45,92.37,93.94,92.98,93.59,93.38,95.93,93.89,94.71,94.45,94.4,95.01
island_effects,52.99,59.98,61.81,59.68,60.65,61.47,57.1,55.94,56.28,61.66,59.01,60.72,61.21,63.0,62.82,59.75,61.47,61.81,56.54,53.36,53.51,53.25,54.86,54.71,49.96,50.56,53.51,56.05,57.25,57.1,56.43,54.3,58.63,58.89,59.64,61.4,56.43,61.55,63.42,58.93,62.14,61.62,56.88,58.52,55.94,52.5,54.93,54.71,44.99,54.93,54.0,61.85,59.27,62.22,52.88,55.83,59.94,59.12,60.43,60.2,57.44,59.53,62.0,58.22,57.85,59.57,48.32,49.25,49.36,47.98,49.59,50.22
npi_licensing,40.97,41.33,47.84,50.11,41.06,43.47,49.35,49.12,46.75,50.96,48.16,51.52,48.12,51.96,52.4,53.22,52.4,52.73,51.88,56.24,56.6,56.97,57.64,58.4,47.02,50.55,44.79,41.82,39.36,40.33,46.61,46.43,37.97,43.55,38.58,39.04,52.28,47.74,43.41,49.45,42.79,43.7,53.9,55.27,57.53,61.19,59.81,60.51,42.33,35.41,39.72,42.86,42.23,44.7,43.35,46.74,44.76,39.98,37.34,37.84,47.72,59.14,55.94,58.41,56.07,57.23,51.97,49.71,52.43,51.78,50.7,52.82
