task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6,c2-interleaved-1,c2-interleaved-2,c2-interleaved-3,c2-interleaved-4,c2-interleaved-5,c2-interleaved-6,c2-interleaved2-1,c2-interleaved2-2,c2-interleaved2-3,c2-interleaved2-4,c2-interleaved2-5,c2-interleaved2-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c2-sequential-ewc-1,c2-sequential-ewc-2,c2-sequential-ewc-3,c2-sequential-ewc-4,c2-sequential-ewc-5,c2-sequential-ewc-6,c3-interleaved-1,c3-interleaved-2,c3-interleaved-3,c3-interleaved-4,c3-interleaved-5,c3-interleaved-6,c3-interleaved2-1,c3-interleaved2-2,c3-interleaved2-3,c3-interleaved2-4,c3-interleaved2-5,c3-interleaved2-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6,c3-sequential-ewc-1,c3-sequential-ewc-2,c3-sequential-ewc-3,c3-sequential-ewc-4,c3-sequential-ewc-5,c3-sequential-ewc-6
anaphor_agreement,87.37,85.12,89.47,90.59,91.36,90.39,88.65,87.42,90.64,87.73,91.41,91.51,91.36,94.07,92.94,90.9,92.33,91.41,86.4,89.52,88.7,89.16,87.78,88.7,84.2,81.24,83.18,80.27,82.46,85.84,85.48,91.05,91.97,92.33,93.3,93.25,86.71,91.62,93.25,92.02,93.56,93.92,78.73,85.84,88.65,86.04,86.4,86.09,81.8,62.17,66.36,82.72,79.65,80.67,91.46,91.16,91.46,93.0,90.75,91.16,89.52,89.42,93.71,94.63,93.46,93.66,86.09,89.21,89.42,89.52,89.26,89.21
argument_structure,59.69,61.55,69.01,70.94,71.56,72.01,67.75,70.28,69.94,71.18,69.3,69.68,70.05,70.9,70.88,73.17,72.84,72.32,66.48,67.12,66.15,66.45,66.15,66.22,59.77,58.94,62.88,67.52,69.13,68.66,67.24,71.73,69.99,71.56,71.73,71.61,67.6,70.44,70.94,70.04,71.54,71.4,63.91,63.75,64.02,64.09,64.83,64.95,59.55,59.81,58.07,58.79,60.28,62.55,66.19,69.91,71.13,70.21,69.22,69.14,65.18,67.13,68.27,68.99,69.19,69.92,61.43,62.82,62.02,62.54,61.97,62.09
binding,64.51,64.14,67.35,68.27,67.59,66.24,66.15,63.95,67.91,66.83,64.95,66.3,68.12,67.57,66.79,65.73,65.66,65.26,64.63,63.52,62.51,62.81,63.03,62.54,63.91,68.21,64.46,63.8,64.84,65.81,63.19,64.23,66.36,67.25,67.39,65.94,64.37,66.53,65.67,66.27,66.87,67.47,62.07,64.54,64.41,63.19,63.24,63.86,66.58,67.85,65.81,62.48,62.9,63.34,65.17,60.55,62.69,64.8,63.33,63.86,63.51,64.11,63.19,61.16,60.75,60.17,58.98,60.23,60.85,58.1,58.36,58.1
control_raising,58.02,61.56,65.0,65.02,67.32,66.15,64.34,66.55,66.35,65.71,66.75,66.9,66.5,67.3,67.12,68.29,68.6,68.43,63.3,62.73,61.64,62.9,62.62,62.4,57.0,58.84,60.96,61.75,63.74,63.21,64.8,65.51,67.72,66.77,67.28,66.73,62.9,65.93,65.93,67.39,68.05,68.91,64.32,64.98,63.81,64.69,64.78,64.69,58.66,59.68,58.97,60.47,59.9,59.9,63.35,64.94,65.55,66.08,66.04,66.33,63.79,64.87,66.39,65.75,66.88,66.86,63.54,63.7,64.03,63.59,63.92,63.88
determiner_noun_agreement,55.67,84.79,90.63,91.37,91.9,92.2,89.84,90.97,90.49,90.92,91.13,91.36,90.04,91.21,91.09,92.75,92.93,92.4,86.74,87.36,87.38,87.81,87.84,87.58,55.74,55.38,83.96,89.82,90.21,90.77,91.73,92.36,92.31,93.82,93.44,94.15,89.37,92.22,93.29,93.46,94.22,93.98,85.75,87.67,87.51,87.42,87.54,87.64,55.57,58.15,58.47,77.05,80.4,80.44,87.68,90.49,92.26,92.81,92.87,93.12,87.44,90.15,90.64,91.95,92.73,93.26,79.9,78.4,79.32,79.26,78.94,78.96
ellipsis,56.24,75.06,86.95,84.82,87.64,86.84,80.54,81.35,84.53,82.97,82.62,83.14,82.68,86.95,83.03,82.45,81.81,81.58,74.31,76.85,72.11,74.13,71.25,71.36,53.06,61.49,72.98,82.22,87.07,85.91,77.31,81.81,81.87,84.99,84.47,81.24,74.65,83.95,82.85,84.3,86.09,85.28,74.83,77.83,80.54,80.54,80.6,81.35,58.83,69.98,69.75,67.78,78.06,75.64,76.27,76.27,86.61,84.41,85.68,83.2,70.32,78.75,79.85,81.99,80.31,81.18,74.02,72.81,71.13,74.48,71.77,74.19
filler_gap,69.48,62.87,65.22,66.4,66.36,66.64,68.57,68.61,68.41,66.04,64.85,65.48,69.22,69.22,67.32,68.97,67.43,68.05,62.53,61.19,59.94,61.42,61.02,60.1,70.07,69.61,61.67,62.75,65.16,65.47,64.64,68.43,69.17,70.4,68.49,67.71,63.63,67.54,70.95,69.75,70.14,69.87,59.66,59.8,61.52,61.97,61.55,61.98,68.95,70.11,68.67,61.52,60.01,59.82,63.32,61.95,64.04,65.13,63.41,64.19,64.91,64.24,64.29,65.11,66.2,66.34,60.55,60.99,61.31,59.69,60.64,59.57
irregular_forms,58.63,86.06,86.46,91.25,94.25,94.05,82.24,88.7,90.64,90.74,89.82,88.24,86.41,84.99,80.0,88.85,89.41,87.94,84.78,86.16,85.39,86.31,83.92,83.56,60.76,46.41,82.14,87.38,88.14,88.8,86.06,87.18,92.06,89.77,89.06,89.11,86.36,86.46,89.16,89.06,89.57,90.69,83.97,84.33,88.6,86.56,86.62,86.72,51.35,45.8,44.02,75.01,75.73,79.69,80.66,78.98,84.68,90.69,93.38,93.49,83.21,77.66,76.84,79.39,76.08,78.17,76.28,72.62,73.64,72.72,73.54,72.37
island_effects,46.64,43.83,44.51,43.05,45.03,44.84,42.19,42.49,39.46,36.81,37.56,39.28,45.7,40.77,41.89,43.09,41.03,42.53,47.98,45.4,47.46,46.19,46.9,46.94,54.19,50.04,43.42,44.66,47.31,48.06,47.94,53.77,52.2,55.31,54.63,55.27,45.59,48.17,53.14,51.94,50.0,49.1,43.91,45.07,44.36,43.27,42.23,41.78,48.06,51.64,44.25,43.35,41.52,43.57,46.75,43.95,47.2,42.04,40.13,40.21,44.96,47.83,49.22,44.39,44.32,43.16,48.32,46.75,44.92,46.38,43.27,44.58
npi_licensing,41.74,48.15,55.19,51.06,59.43,62.28,61.75,55.78,61.13,62.66,61.63,58.94,62.89,72.08,68.33,69.63,70.35,72.62,55.0,54.28,53.01,51.38,54.43,52.98,38.84,42.79,47.57,59.88,60.25,62.04,62.66,69.03,69.66,73.41,73.08,71.74,71.83,77.73,70.48,73.03,74.34,74.19,57.03,59.37,60.75,59.08,61.57,61.39,47.15,46.11,44.22,57.11,59.78,59.44,72.27,64.83,61.84,70.92,66.14,70.98,67.02,66.85,72.46,73.08,76.16,76.84,56.24,60.13,53.99,58.49,60.69,59.19
