task,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6
anaphor_agreement,92.08,94.79,92.54,92.54,92.69,91.16,90.03,92.43,94.38,92.43,93.0,93.25,87.73,90.34,89.98,87.42,88.24,90.59
argument_structure,74.92,73.59,74.18,74.42,73.88,73.85,73.07,74.49,75.05,74.19,73.71,74.18,68.68,70.7,72.02,74.43,73.28,74.09
binding,70.23,70.35,67.08,67.13,67.51,65.78,69.4,67.96,68.85,68.33,67.54,67.9,65.51,67.45,65.38,65.09,66.06,64.99
control_raising,68.6,70.99,69.2,69.35,70.79,70.66,65.75,67.65,69.05,67.9,68.6,67.34,66.08,65.8,64.07,66.48,65.95,66.84
determiner_noun_agreement,95.39,95.97,95.74,95.8,95.84,95.86,91.66,93.48,94.27,94.17,94.48,94.17,90.36,92.04,93.05,93.49,94.44,94.72
ellipsis,87.64,85.16,85.22,83.43,82.39,83.37,80.2,76.67,85.05,79.16,78.93,79.45,79.5,84.18,85.28,82.68,82.62,83.89
filler_gap,68.88,70.45,69.17,69.2,67.43,66.95,63.12,70.6,69.81,64.91,65.67,64.11,66.25,65.16,63.46,65.75,65.92,65.22
irregular_forms,90.59,92.47,92.98,92.11,90.74,89.47,87.07,88.75,91.4,89.01,90.69,90.69,84.68,82.09,79.08,87.68,86.16,83.77
island_effects,59.12,55.34,55.38,55.61,55.42,52.88,52.99,58.71,55.01,50.64,47.91,43.76,42.6,45.89,46.6,44.81,48.39,47.8
npi_licensing,68.58,68.08,70.29,63.47,66.31,66.31,71.29,74.31,72.46,71.56,74.04,74.55,57.83,54.6,65.09,63.83,70.22,68.74
quantifiers,74.19,65.02,64.66,66.02,65.64,63.68,61.31,58.55,67.03,62.8,64.32,64.53,59.17,65.92,66.92,66.95,63.6,65.84
subject_verb_agreement,73.93,72.65,68.18,71.45,70.35,69.27,71.18,77.98,74.98,71.74,69.29,69.2,68.56,66.27,65.28,68.11,67.57,67.66
hypernym,50.7,51.16,49.77,46.51,46.51,45.58,49.53,51.16,50.58,50.23,50.0,50.12,48.26,48.49,49.3,50.93,50.7,50.81
qa_congruence_easy,60.94,60.94,71.88,71.88,67.19,73.44,67.19,67.19,65.62,59.38,60.94,60.94,62.5,67.19,73.44,67.19,64.06,73.44
qa_congruence_tricky,35.15,46.67,47.27,48.48,49.7,50.91,38.18,43.03,42.42,45.45,41.82,40.61,47.88,42.42,43.03,45.45,43.64,41.21
subject_aux_inversion,72.87,71.65,72.29,72.29,73.92,73.38,75.21,76.85,78.82,78.95,79.65,79.56,75.9,76.7,81.9,81.65,79.19,78.82
turn_taking,67.86,70.0,72.5,68.57,70.0,68.93,68.93,72.14,72.14,70.71,72.14,70.71,62.5,60.36,64.29,63.21,66.43,63.57
