task,c1-interleaved-1,c1-interleaved-2,c1-interleaved-3,c1-interleaved-4,c1-interleaved-5,c1-interleaved-6,c1-interleaved2-1,c1-interleaved2-2,c1-interleaved2-3,c1-interleaved2-4,c1-interleaved2-5,c1-interleaved2-6,c1-sequential-1,c1-sequential-2,c1-sequential-3,c1-sequential-4,c1-sequential-5,c1-sequential-6,c1-sequential-ewc-1,c1-sequential-ewc-2,c1-sequential-ewc-3,c1-sequential-ewc-4,c1-sequential-ewc-5,c1-sequential-ewc-6,c2-interleaved-1,c2-interleaved-2,c2-interleaved-3,c2-interleaved-4,c2-interleaved-5,c2-interleaved-6,c2-interleaved2-1,c2-interleaved2-2,c2-interleaved2-3,c2-interleaved2-4,c2-interleaved2-5,c2-interleaved2-6,c2-sequential-1,c2-sequential-2,c2-sequential-3,c2-sequential-4,c2-sequential-5,c2-sequential-6,c2-sequential-ewc-1,c2-sequential-ewc-2,c2-sequential-ewc-3,c2-sequential-ewc-4,c2-sequential-ewc-5,c2-sequential-ewc-6,c3-interleaved-1,c3-interleaved-2,c3-interleaved-3,c3-interleaved-4,c3-interleaved-5,c3-interleaved-6,c3-interleaved2-1,c3-interleaved2-2,c3-interleaved2-3,c3-interleaved2-4,c3-interleaved2-5,c3-interleaved2-6,c3-sequential-1,c3-sequential-2,c3-sequential-3,c3-sequential-4,c3-sequential-5,c3-sequential-6,c3-sequential-ewc-1,c3-sequential-ewc-2,c3-sequential-ewc-3,c3-sequential-ewc-4,c3-sequential-ewc-5,c3-sequential-ewc-6
anaphor_agreement,85.99,78.32,81.08,86.15,84.71,85.28,88.85,88.75,89.98,89.16,90.03,89.88,86.2,88.24,89.21,89.37,88.91,88.45,76.89,80.21,83.18,83.59,83.38,83.13,81.44,81.6,80.57,88.65,88.7,89.11,81.44,87.27,87.93,89.06,87.78,87.78,77.97,81.9,84.56,87.42,87.22,87.47,72.44,70.6,74.08,74.54,75.26,75.36,80.62,70.76,65.13,86.71,83.13,85.48,78.48,89.06,91.31,86.66,86.2,87.73,84.97,88.96,89.21,90.64,91.1,91.77,70.14,73.82,74.59,72.65,73.06,74.03
argument_structure,59.76,58.84,65.09,69.0,68.49,69.28,69.0,69.65,71.0,73.02,72.79,73.11,67.9,69.79,70.72,72.47,73.39,73.16,62.26,62.63,62.77,62.73,63.4,62.5,59.01,59.49,57.65,62.39,64.85,64.82,64.62,67.34,70.28,71.44,71.85,71.13,65.56,69.64,70.68,70.51,71.42,71.7,61.4,60.4,60.11,59.93,59.36,60.32,60.03,58.67,57.95,58.85,62.29,62.23,61.55,67.74,67.34,68.59,68.45,68.2,59.44,62.71,64.21,63.88,65.98,65.39,56.92,57.24,57.6,57.54,58.38,58.26
binding,66.56,63.49,67.71,68.8,70.04,69.62,67.87,67.38,65.97,67.88,68.73,68.57,67.26,66.15,64.32,63.46,63.52,63.49,63.97,63.79,62.6,63.0,63.52,63.13,67.63,67.81,62.67,62.63,62.97,63.33,62.76,63.39,63.28,65.15,64.17,63.65,62.21,65.0,64.23,63.02,64.57,64.44,60.05,62.18,62.1,61.95,63.33,63.06,65.0,67.99,66.15,68.11,61.4,61.21,68.33,66.22,64.63,64.71,64.62,64.35,63.27,65.21,61.59,64.59,65.88,65.43,62.42,63.71,61.72,63.74,61.28,61.26
control_raising,58.84,59.85,63.41,64.14,63.28,63.19,65.11,65.58,67.08,67.83,67.45,67.72,63.76,63.46,66.17,66.31,66.97,66.7,63.08,63.88,63.9,63.96,64.38,64.1,58.09,58.0,59.79,61.22,62.26,61.38,63.06,65.18,67.87,68.03,68.32,68.52,63.85,64.85,65.18,66.15,65.73,66.46,63.26,63.61,63.1,62.75,63.61,63.46,58.66,58.93,58.86,59.13,61.27,61.18,65.82,64.54,64.94,66.35,66.77,66.31,62.06,64.21,65.05,65.49,67.21,66.64,61.16,61.25,61.05,62.22,62.04,61.6
determiner_noun_agreement,57.13,62.07,87.15,90.45,90.32,90.2,88.33,88.65,89.79,90.69,90.84,90.71,90.03,90.71,90.44,90.49,91.45,91.13,82.26,83.33,81.84,81.72,81.94,81.86,55.41,55.44,65.75,85.4,88.53,88.99,88.35,89.42,89.6,89.88,90.45,90.8,88.64,91.09,91.58,91.01,91.96,92.04,80.79,82.39,82.76,82.67,82.21,82.47,57.19,57.49,57.44,58.42,74.95,79.38,82.86,85.89,88.07,90.52,90.85,91.73,77.98,83.15,86.89,88.81,88.7,89.25,68.55,69.69,69.53,69.28,68.71,67.34
ellipsis,54.16,51.5,84.06,89.09,88.8,88.28,80.2,87.36,86.66,87.3,88.05,89.2,83.08,85.91,84.82,87.3,86.55,86.49,77.6,80.72,81.35,81.64,82.22,81.87,49.48,60.8,54.73,76.5,78.7,80.43,85.33,88.22,89.49,89.61,90.42,91.11,83.31,86.61,85.39,86.84,86.09,87.18,74.48,76.15,76.73,77.19,75.52,74.48,56.52,68.36,69.52,60.33,60.8,63.63,74.71,76.91,81.24,81.87,83.66,83.78,74.31,69.69,62.07,64.26,70.67,68.36,68.88,71.94,74.6,72.58,68.59,69.69
filler_gap,68.86,58.98,60.94,64.78,64.1,64.25,66.15,65.11,64.05,66.5,65.08,65.25,68.33,68.3,67.16,67.88,67.48,66.04,62.67,61.84,60.44,59.79,60.16,60.41,69.5,70.59,61.48,62.08,62.29,62.45,65.83,67.57,69.25,70.04,70.42,71.34,65.33,70.53,70.57,69.9,70.77,70.96,62.23,63.71,63.09,62.67,62.36,62.62,70.45,70.07,69.59,65.66,62.42,60.46,64.86,65.05,67.32,64.95,63.4,61.83,61.61,62.93,62.14,63.93,65.81,64.27,63.06,63.06,61.52,62.29,62.31,62.04
irregular_forms,57.56,57.05,82.34,85.65,86.56,85.55,87.18,91.09,91.3,92.88,91.7,90.89,83.21,87.48,87.74,87.84,89.82,87.68,86.21,88.65,87.23,84.58,86.21,85.34,60.2,57.3,69.72,80.87,81.68,81.93,88.35,95.57,94.05,93.28,92.77,92.98,84.63,86.21,90.89,90.13,88.55,89.26,75.83,81.22,82.95,81.98,81.83,79.85,56.74,58.17,50.99,56.28,80.87,88.24,89.06,83.31,89.06,85.6,86.97,84.27,80.25,90.13,87.68,86.77,85.29,85.34,66.77,72.42,67.43,67.48,69.67,70.18
island_effects,57.85,39.72,41.82,35.65,38.0,40.28,37.07,36.92,35.28,37.78,36.92,36.96,35.54,39.28,41.29,40.06,42.3,41.59,35.69,37.67,42.75,38.57,39.72,39.87,52.99,47.53,36.32,47.2,47.98,48.54,41.48,39.42,44.28,42.34,46.0,43.95,41.44,40.84,43.83,42.04,41.67,41.74,37.74,36.62,39.24,40.4,38.27,39.35,53.29,45.59,52.39,55.68,38.64,40.77,46.3,45.48,41.67,41.82,44.69,42.79,47.16,49.93,52.02,50.0,51.49,51.87,47.65,44.51,44.1,44.21,44.1,43.98
npi_licensing,40.97,45.9,56.86,56.5,56.91,58.81,67.57,68.45,72.7,72.3,75.81,72.88,66.79,69.94,66.76,66.41,66.64,66.0,60.08,58.28,57.59,55.98,56.98,56.89,40.43,46.64,39.64,58.4,63.56,64.83,60.01,71.04,75.66,73.05,72.76,74.14,64.18,69.75,69.56,71.26,75.89,75.75,54.87,55.13,52.13,53.55,54.62,55.0,41.15,38.69,35.41,36.84,59.43,56.77,61.51,61.04,63.04,66.14,71.09,71.62,71.17,66.34,64.83,64.77,60.57,59.06,53.74,49.47,48.38,50.29,50.05,49.44
