task,c1-interleaved2,c1-interleaved,c1-sequential-ewc,c1-sequential,c2-interleaved2,c2-interleaved,c2-sequential-ewc,c2-sequential,c3-interleaved2,c3-interleaved,c3-sequential-ewc,c3-sequential
cola,76.64,75.27,70.07,76.35,74.88,73.8,70.46,77.53,70.07,75.76,69.48,77.63
sst2,87.8,89.17,86.61,88.98,88.19,88.39,87.01,88.19,85.83,87.99,85.04,88.78
mrpc,71.19,71.19,70.62,72.88,72.32,71.75,72.88,74.01,69.49,72.88,69.49,69.49
qqp,86.62,86.73,86.27,86.11,87.32,85.6,86.27,86.2,83.73,84.51,84.4,84.18
mnli,76.87,76.61,73.71,77.16,77.23,76.79,74.35,75.54,72.13,74.9,71.84,73.58
mnli-mm,77.83,77.34,75.64,77.88,77.32,76.77,75.1,77.5,73.49,75.51,73.09,73.97
qnli,82.63,84.82,81.06,84.47,82.94,84.91,80.84,83.73,80.88,83.55,81.54,83.25
rte,55.56,56.57,53.54,60.61,53.54,58.59,54.55,49.49,68.69,60.61,66.67,64.65
boolq,63.21,65.42,64.59,69.02,64.59,67.91,66.67,69.99,59.89,63.9,60.3,65.7
multirc,52.46,53.12,49.29,58.93,52.03,59.36,49.51,59.04,51.7,52.03,53.56,58.71
wsc,54.22,59.04,60.24,60.24,59.04,61.45,60.24,61.45,61.45,61.45,57.83,61.45
