task,c1-interleaved,c1-interleaved2,c1-sequential-ewc,c1-sequential,c2-interleaved2,c2-interleaved,c2-sequential-ewc,c2-sequential,c3-interleaved,c3-interleaved2,c3-sequential-ewc,c3-sequential
cola,76.05,74.58,70.46,75.76,75.76,74.88,70.66,75.47,74.19,69.58,69.48,75.37
sst2,89.17,88.78,86.61,89.76,87.8,88.39,86.61,88.58,88.58,85.63,84.25,89.96
mrpc,68.93,70.06,69.49,72.88,68.93,74.01,70.62,74.58,69.49,69.49,69.49,69.49
qqp,86.89,86.64,85.59,84.79,86.85,84.53,85.53,85.01,83.79,83.65,83.41,83.8
mnli,76.29,77.48,74.08,76.09,77.86,74.49,74.28,76.84,72.92,73.19,71.33,74.54
mnli-mm,77.75,77.58,74.79,77.4,78.2,76.73,75.62,76.93,72.58,74.33,72.39,76.32
qnli,83.86,82.2,80.4,83.77,81.76,82.72,80.27,83.77,83.9,82.81,80.88,84.38
rte,56.57,56.57,57.58,54.55,66.67,64.65,56.57,57.58,58.59,46.46,51.52,57.58
boolq,66.8,62.1,61.83,65.42,64.45,66.94,64.32,66.67,60.44,59.89,59.75,61.13
multirc,54.76,50.49,50.16,58.93,49.29,60.57,49.4,63.31,51.81,52.79,50.71,52.03
wsc,50.6,57.83,45.78,55.42,44.58,61.45,40.96,61.45,57.83,61.45,60.24,55.42
