task,c1-interleaved2,c1-interleaved,c1-sequential-ewc,c1-sequential,c2-interleaved,c2-interleaved2,c2-sequential-ewc,c2-sequential,c3-interleaved2,c3-interleaved,c3-sequential-ewc,c3-sequential
cola,38.73,35.34,19.37,45.7,25.59,37.22,20.46,34.09,43.44,12.26,16.63,43.13
sst2,89.76,86.61,86.22,89.96,83.27,89.17,84.65,88.98,88.19,84.45,83.66,89.96
mrpc,80.15,76.4,71.43,79.85,77.1,75.57,78.79,81.75,78.36,77.39,78.76,78.63
qqp,86.0,84.91,84.73,85.75,84.43,85.7,83.91,85.14,86.1,84.02,84.27,85.97
mnli,78.27,76.29,75.54,78.02,74.28,77.46,73.73,76.5,78.99,73.42,73.97,78.06
mnli-mm,78.52,77.08,75.46,78.2,74.94,77.94,74.6,77.37,78.82,74.16,74.2,78.44
qnli,85.56,84.03,80.71,84.16,80.71,82.46,83.03,84.03,85.96,81.28,80.66,85.04
rte,51.52,50.51,53.54,45.45,48.48,46.46,46.46,47.47,51.52,53.54,50.51,50.51
boolq,66.94,66.39,64.59,66.53,63.35,66.8,62.24,67.63,67.63,61.69,64.73,67.36
multirc,58.33,61.42,59.93,61.78,61.01,62.43,60.0,65.15,62.08,41.51,59.1,63.21
wsc,55.42,57.83,61.45,60.24,61.45,62.65,60.24,61.45,61.45,61.45,61.45,57.83
