task,c1-interleaved2,c1-interleaved,c1-sequential-ewc,c1-sequential,c2-interleaved,c2-interleaved2,c2-sequential-ewc,c2-sequential,c3-interleaved2,c3-interleaved,c3-sequential-ewc,c3-sequential
cola,75.56,72.72,70.36,76.15,71.64,75.66,69.09,76.45,76.55,66.44,63.89,74.98
sst2,88.58,86.81,85.83,88.19,81.89,87.8,82.68,86.81,88.78,81.3,81.5,88.78
mrpc,72.32,65.54,61.02,64.41,60.45,69.49,66.1,63.28,62.15,68.93,61.02,64.97
qqp,87.55,86.99,86.64,87.03,85.97,87.41,85.97,86.83,88.2,85.83,85.41,87.29
mnli,77.93,76.0,74.15,77.0,74.32,76.74,73.5,76.33,77.25,72.75,35.69,76.81
mnli-mm,78.82,76.61,75.14,78.07,75.41,77.66,73.66,76.62,77.69,74.08,35.46,77.37
qnli,85.39,83.6,82.02,83.68,81.19,84.86,80.36,82.59,85.0,81.85,80.53,83.9
rte,48.48,49.49,50.51,47.47,45.45,47.47,55.56,37.37,53.54,54.55,49.49,47.47
boolq,66.11,68.33,58.37,65.56,63.62,62.24,60.17,65.7,64.18,62.66,59.89,68.88
multirc,61.12,61.23,61.45,63.31,62.43,62.54,60.35,61.01,64.29,54.33,53.23,66.27
wsc,61.45,56.63,57.83,61.45,61.45,61.45,59.04,61.45,61.45,61.45,55.42,61.45
